,title,link,body,author,university
0,'What Matters' - A digital solution to support person-centered care for people with dementia in care settings ( 2020/21 ),https://cognit.ca/en/research/project/232601,"Canada's aging population and the increasing prevalence of dementia has a significant and growing impact. The COVID-19 pandemic has increased the risk of older people with dementia living in long-term care homes and hospital settings. Social isolation and loneliness are pressing concerns in senior care. The research purpose is to develop and evaluate a mobile app - WhatMatters to address the urgent need for social isolation. We will involve students in nursing, computer science and health design, patient and family partners, frontline staff, and decision-makers in care settings to co-develop and co-evaluate WhatMatters in long-term care and hospital settings. WhatMatters will be an easy-to-use app that offers a personalized list of resources (music, videos, and photographs) to enable staff to deliver person-centered care. Family members can upload or live stream music, photos, and videos to support care for people with dementia in a care setting. Mixed-methods, including observation, focus groups, and interviews, will be used to evaluate WhatMatters, such as what works well and what strategies are needed to overcome barriers. WhatMatters will support continuity of care when the person with dementia needs to move between care locations such as hospitals and care homes. We expect WhatMatters will have benefits for 1. People with dementia (improvement in the quality of life with a decrease in isolation), 2. Staff (increase in job satisfaction with easy-to-use resources for care practice), and 3. Healthcare system (an improvement of workforce capacity with a more person-centered care culture).","Leanne Currie, Habib Chaudhury, Lillian M Hung, Caylee Raber, Alison Phinney, Jennifer Boger, Angelica Lim","University of British Columbia, Simon Fraser University, University of British Columbia, Emily Carr University of Art + Design, University of British Columbia, University of Waterloo, Simon Fraser University"
1,5th Annual Toronto Area Memory Group (TAMeG) Conference ( 2019/20 ),https://cognit.ca/en/research/project/215195,"The greater Toronto and Southern Ontario regions contain world-leading centres for memory research. There is a younger generation of prolific memory researchers active in cognitive neuroscience and psychology distributed throughout academic and medical centres across the region, yet there is no formal mechanism for these researchers to interact, share findings, and foster collaborations. The annual TAMeG conference leverages the geographical proximity to optimize inter-institutional communication and collaboration among these young researchers. Graduate students and post-doctoral fellows are invited to give oral presentations of their work allowing for the dissemination of research. Past conferences have had up to 200 attendees from across the province and approximately 30 trainee presentations involving topics related to cognitive neuroscience and psychology of memory, such as cognition in healthy adults, brain imaging, memory disorders and basic animal research. These presentations reflect the latest research conducted in neuroscience and psychology labs across Ontario with the intention to improve understanding of memory and the brain. This meeting provides a unique forum for both basic and applied researchers to interact. Over the past 5 years, the reputation of this meeting has grown to the point where it is regarded as similar in quality to international meetings, as evidenced by the eventual publication of TAMeG presentations in leading journals. Each year the TAMeG meeting features an interactive presentation regarding issues of interest in academics and science. Our keynote lecturer for 2019 is, Dr. Paula Croxson, Senior Manager for Education Programs at Columbia University's Zuckerman Institute who is a specialist in scientific communication as well as a neuroscientist. Dr. Croxson will be joined by Toronto PR and media specialists from Science Everywhere in an interactive discussion to promote knowledge and methods in communicating with the public.",Brian T Levine,Baycrest Health Sciences
2,A Critical Comparative Analysis of Integrated Care Systems and Policies for Older Adults in BC and Beyond ( 2017/18-2018/19 ),https://cognit.ca/en/research/project/148238,"Canada is currently undergoing a period of rapid population aging, and by 2036 it is estimated that approximately 1/4 of Canadians will be seniors. Seniors, particularly those of advanced older ages (75+), are at an increased likelihood of experiencing declines in health, multiple chronic conditions, and disability. As a result, they often require long-term care from multiple services and providers in both the health and social care sectors. Currently our health care system is not well designed to provide care to patients with long-term care needs. Fragmentation within the health care system makes it very difficult for patients requiring long-term, complex, or chronic disease care to navigate the health care system and receive the care they need. Integrated care systems have been proposed as a way to make the Canadian health care system more efficient and to meet the needs of our aging population. Integrated care systems seek to connect the different parts of the health care system and the social care system in order to create more efficient systems of care and better experiences of care for patients. In particular, it is important that we have an integrated home and community care system (home and community care includes services such as home care, home support, case management, residential care, etc.) for seniors, as these services are frequently required by seniors with long-term care needs. The purpose of my research is to examine the current state of the home and community care system in B.C. and proposed reforms to this system, and contrast this with other regions (e.g., Denmark, Australia, other Canadian provinces) which have more integrated home and community care systems. This research will help to identify successful models of integrated care systems and lessons for reforms in B.C.",Laura T Kadowaki,Simon Fraser University
3,A collaborative evaluation of the Iiyuu Ahtaawin Miyupimaatisiiun Planning (IAMP) Initiative for Cree Health ( 2015/16-2018/19 ),https://cognit.ca/en/research/project/152247,"The goal for this project is to evaluate a major ongoing community-based health planning initiative – the IIyuu Ahtaawin Miyupimaatisiiun Planning (IAMP) – led by the Cree Board of Health and Social Services of James Bay (CBHSSJB). IAMP involves the entire Cree territory in Northern Quebec. Our evaluative focus is to determine IAMP’s implications and impact in terms of structures (e.g., committees, staff, services), decision-making processes (e.g., setting health priorities), and early outcomes at the community and regional level. Further, we will assess the potential sustainability and transferability for this planning approach to other remote indigenous contexts.This CBHSSJB-McGill Research team grew through a CIHR Planning Grant (2013-2014) that enabled our team to conduct a Rapid Evidence Review on health planning in indigenous communities and to begin reviewing planning processes at the CBHSSJB. The McGill team members have extensive experience working with indigenous communities in health, education, natural resources, and priority setting. The CBHSSJB team members are comprised of senior administrators involved in planning, management, and implementation.We will approach this research using a Community-Based Participatory Research (CBPR) framework in combination with Patton’s developmental evaluation framework (2010). We will focus our evaluation on four of the nine communities (the two highest and two lowest performing in terms of health planning progress). Data collection methods will include: 1. Interviews and focus groups (pre-and post-health plan implementation); 2. Document review (e.g., community health profiles, community health plans); 3. Social media survey. Analysis will focus on three levels: 1. Four Cree communities; 2. IAMP project team located in the CBHSSJB; 3. Regional entities in the Cree James Bay area. Locally, our data will be used to look at concrete changes made in the four communities and the degree of community engagement in these planning processes. This will include both in-case analysis (the case being the community) and across-case analysis, looking at the similarities and difference across the four contexts. At the level of the CBHSSJB, an analysis is needed to address the working of the IAMP project team, the challenges and successes of the structure and the processes, as well as the knowledge and learning from this experience. In the regional analysis, we will consider the use of these results beyond this project and for longer-term evaluation, as well as the transferability and scalability of IAMP for other remote indigenous communities in Canada.Knowledge Translation will follow community, regional, national, and academic tracks. Locally, we will share our findings with the four communities as well as with the communities not directly involved in the analysis. Podcasts, radio broadcasts and town hall meetings are commonly used in these communities as KT activities. Further, we will create short video clips summarizing key findings and lessons learned. Regionally, the CBHSSJB will uses these findings as they move forward with the IAMP initiative beyond the current funding cycle into 5 and 10 year evaluation goals. We will also prepare a report for Health Canada as they have expressed interest in the future directions of IAMP. Finally, we will also share our findings in traditional academic conferences and journals.",Mary E Macdonald,McGill University
4,A comprehensive account of price discrimination: new evidence from the airline industry ( 2017/18-2019/20 ),https://cognit.ca/en/research/project/113373,"This proposal provides a new perspective on a central topic in the field of Economics: price discrimination. This refers to the practice by which firms charge consumers different prices for very similar, or even identical, goods. This is a common, and extremely lucrative, practice for firms. It also raises key questions about equity and fairness for consumers and policymakers. Price discrimination is widespread, and affects consumers in many, complex ways. It may take benign forms, such as discounts for students at movie theatres, or various talk and text bundles offered by cellphone companies. In other cases, it may lead to resentment or even anger among consumers, and deep concerns among policymakers. One example is personalized pricing, reportedly practiced by Amazon, whereby different consumers can pay different prices for identical items. Another is overbooking by airlines, which led to the recent incident of a traveller being dragged off a United Airlines flight; this overbooking situation was created because airlines choose not to allow resale markets for their tickets, as they are aware that secondary markets would undermine their ability to practice price discrimination. Within the field of Economics, price discrimination is generally classified into two types. Second-degree price discrimination, also called menu pricing, refers to firms offering a menu of options, with differing prices, allowing consumers to self-select into their preferred option; for example, a menu of plans offered by cellphone companies. Third-degree price discrimination, also called group pricing, refers to firms explicitly charging different prices for nearly identical goods, based on characteristics of consumers; for example, discounts for students or seniors. (There is also a type called first-degree price discrimination, but it is rarely encountered in practice.) Research into price discrimination is extensive. However, both theoretical and empirical lines of inquiry have tended to focus on one or the other of the two types in isolation, ignoring the possibility that firms may practice both kinds simultaneously. This may be because theoretical models that incorporate both types become very complex, while empirical analyses are often hampered by the lack of data, especially because firms are wary of revealing their price discrimination practices. Yet, many firms do actually implement both kinds simultaneously, and this phenomenon is growing, as firms increasingly acquire large sets of information about their consumers through behavioural targeting and their knowledge of consumers' electronic purchasing habits --- a phenomenon often referred to as 'Big Data'. In the proposed research, I will conduct a comprehensive study of both second- and third-degree price discrimination. Specifically, I will examine the airline industry, which engages in both types using increasingly sophisticated techniques. I will use new data, obtained after careful negotiations with a private airline; this will be the first time that a scholar in Economics has obtained such data. I will explore these data to examine price discrimination based on advance purchases as well as quality levels. I will investigate how each type of discriminatory pricing interacts with the other, and how each is affected by the degree of competition faced by the firm. The findings will make important theoretical and empirical contributions, and will significantly advance our understanding of a common, and growing, practice. I expect that the results will be of interest to academics, policymakers, consumers, and the business community.",Ambarish Chandra,University of Toronto
5,"A longitudinal examination of the associations among recent stressful life events, emotional reactivity, and nonsuicidal self-injury among university students ( 2017/18-2019/20 )",https://cognit.ca/en/research/project/113302,"Nonsuicidal self-injury (NSSI) is a widespread problem behaviour among emerging adults (ages 18 - 25 years) on university campuses in Canada. As many as 1 out of 5 university students has engaged in NSSI, which refers to the direct and deliberate destruction or alteration of bodily tissue in the absence of lethal intent (e.g., self-cutting, burning). Relative to those who do not attend university, emerging adults who attend university are two times more likely to engage in NSSI, suggesting that aspects of the university experience may heighten risk for NSSI. Engagement in NSSI is associated with increased risk for other problem behaviours (e.g., alcohol and substance use), and students who engage in NSSI are at increased risk for suicidal behaviour in their later adult years. Despite the widespread prevalence of NSSI among university students, little is known about the processes through which NSSI develops, or its contributing and mitigating factors, during the university years. Recent theory suggests that NSSI may be a coping behaviour that is initiated in response to heightened negative affect (i.e., emotional reactivity) following recent stressful or challenging situations (e.g., stressful life events). Additionally, it has been suggested that risk for NSSI in the context of a stressful life event may be greater among individuals with NSSI specific factors (or factors that increase the likelihood that an individual will choose NSSI over another coping behaviour when emotionally distressed), such as having friends who engage in NSSI. Although mounting evidence supports the contention that NSSI is a form of emotion coping behaviour, comprehensive and theoretically-driven examinations of the process through which recent stressful life events may lead to increased risk for NSSI (e.g., through emotional reactivity), or for whom this process may be most pronounced, are sorely lacking. Elucidating pathways to NSSI, and identifying those students most at risk, is necessary to develop evidence-informed early prevention and intervention approaches for NSSI and support student well-being on university campuses in Canada. To clarify pathways to NSSI among university students, our three central research objectives are to examine: 1) if recent stressful life events predict NSSI engagement over time, and whether this association is indirect through emotional reactivity; 2) if the link between recent stressful life events and NSSI through emotional reactivity varies depending on the type of stressful life event (e.g., academic, interpersonal), and 3) if the association between stressful life events and NSSI through emotional reactivity is stronger among students with NSSI specific risk factors (e.g., having peers who self-injure). To meet these objectives, 1000 first-year university students will complete an online survey three times during their first year (i.e., baseline, four-month follow-up, eight-month follow-up), reporting on recent stressful life events, emotional reactivity, NSSI specific risk factors, and NSSI behaviour. Structural equation modelling in Mplus will be used to analyze the data. Dr. Chloe Hamza (PI) is a leading researcher in NSSI among emerging adults with expertise in longitudinal research methods, and Dr. Abby Goldstein (Co-App) is a Canada Research Chair (Tier II) in the Psychology of Emerging Adulthood. Dr. Nancy Heath (Co-App) is a senior scholar who has been internationally recognized for her work on NSSI in educational settings (e.g., schools, colleges, universities). The team's combined expertise makes them uniquely qualified to carry out the proposed project, including student mentorship and training, as well as widespread knowledge mobilization to relevant national and international stakeholders.","Chloe A Hamza, Nancy Lee Heath, Abby L Goldstein","University of Toronto, McGill University, University of Toronto"
7,"Addressing sexual- and drug-related HIV risk among young gay, bisexual and other MSM ( 2017/18-2020/21 )",https://cognit.ca/en/research/project/147279,"In BC and many other contexts, there are increasing concerns that HIV and other sexually transmitted and blood-borne infections (STBBIs) diagnoses (e.g., chlamydia, gonorrhea, syphilis) are accumulating among young gay, bisexual and other men who have sex with men (gbMSM) at higher rates than previous generations. Epidemiological evidence links high-risk sexual behaviour with substance use, including the use of stimulants (e.g., crystal methamphetamine) and sedatives (e.g., GHB). While the need for innovative interventions to address sexual- and drug-related HIV risk among young gbMSM is high, the information available to inform more effective interventions in this area remains limited. Over the next five years, our team will develop new harmonized data systems, launch new training and mentoring opportunities, build multi-sectoral capacity and identify actionable strategies to inform the scale up of two key interventions in this area: (a) Mpowerment, a community-initiated intervention that aims to enhance the health and well-being of young gbMSM; and (b) Health Initiative for Men (HIM), a non-governmental organization that provides gbMSM-centered sexual health services at five community clinics across Metro Vancouver and the Fraser Valley. Our team reflects a novel multi-disciplinary mix of new and senior investigators, trainees, youth co-researchers and key knowledge users. Our team's level of interaction and integration will be high, and we have designed our research approach, governance structure and scale up activities to facilitate this approach to collaboration. The results of the conceptually linked research activities will build capacity in relation to intervening through a multi-faceted, 'systems-level' approach and, in so doing, will also be making innovative methodological, empirical and ethical contributions to the scholarship and application of HIV implementation science.","Rodney E Knight, Jean A Shoveller, Jade Boyd, Kate Shannon, John L Oliffe, Danya Fast, Andrea B Krüsi, Thomas H Kerr, Nadia S Fairbairn, Ryan Mcneil, Nathan J Lachowsky, Devon Greyson, Olivier Ferlatte, Olivier Ferlatte, Kora A Debeck, Travis Salway, Devon Greyson, Kora A DeBeck","University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of Victoria, University of British Columbia, University of British Columbia, University of Montreal, Simon Fraser University, Simon Fraser University, University of Massachusetts, Simon Fraser University"
8,Advancing Concussion Assessment and Treatment in Children and Youth ( 2015/16-2020/21 ),https://cognit.ca/en/research/project/147640,"Each year, millions of children sustain concussions/mild traumatic brain injuries (mTBI), and 15-25% suffer persistent symptoms and declines in quality of life. Clinicians caring for these children face three critical, unanswered questions: how to diagnose concussion, how to predict which children will suffer persistent symptoms, and how to treat those who do? My overall goal is to answer these questions through an interdisciplinary program that combines systematic research, embedded knowledge translation (KT), and training/mentoring (Figure 1). My long-term vision is to transform clinical care and improve outcomes for children with concussion.My research plan has two core aims (Figure 2). Aim 1 will improve diagnosis and prognosis of mTBI by focusing on assessment. The objective is to conduct a prospective, longitudinal, multi-site cohort study that assesses novel neurobiological and psychosocial markers (e.g., genes; psychological hardiness) hypothesized to (1) identify mTBI and (2) predict outcomes of mTBI. The findings will enable better detection of mTBI in children, especially those at risk for poor outcomes, and help identify modifiable risk factors. These factors are targeted by Aim 2, which will improve the treatment of persistent symptoms. The objective is to design and test neurocognitive and psychosocial interventions hypothesized to reduce children’s post-concussive symptoms. The interventions will be tested in randomized controlled trials (RCTs), first individually and subsequently in multi-arm RCTs involving promising biomedical treatments (e.g., melatonin, cervico-vestibular therapy).The research program responds directly to the concerns of patients, families, clinicians, institutional decision makers (e.g., Alberta Health Services), and other knowledge users. It builds on these partnerships via an integrated KT plan, which includes an advisory committee to provide ongoing stakeholder participation, patient engagement researchers to generate research by and for patients, and a dedicated knowledge broker to weave a broad translational network and build a strategy for the dissemination and uptake of study findings by scientists and end users.The program will build research capacity via interdisciplinary training and mentoring along a “multi-generational” chain. My students and trainees, as well as those supervised by other research team members, will be immersed in the research program and engage in program-specific training activities (e.g., mentoring committees, lab rotations, annual conference) while capitalizing on institutional educational opportunities. In addition, senior investigators on the team will mentor junior members and support them in developing independent research.I have directed seminal research on mTBI and shaped its clinical care (CV Journal Articles #2,8,11,12,17,18,19,20,21,23; Book #1). The University of Calgary sought me out to lead a campus-wide, integrated concussion research program that is a key element of its strategic plan. I have assembled a multidisciplinary, Canada-wide team of researchers, many of whom I work with on existing CIHR team grants, with expertise in outcomes assessment, neuroimaging, genetics, clinical trials, psychosocial treatment, biostatistics, animal modeling, and KT science. My expertise and leadership, together with an exceptional team and the unique resources found at the University of Calgary, position my program to be a world leader in paediatric concussion.",Keith O Yeates,University of Calgary
9,Aerodynamic Improvement of Centrifugal Compressors ( 2016/17-2019/20 ),https://cognit.ca/en/research/project/23141,"A step improvement in aero-engine technology will be crucial for the air transport industry to confront the inevitable increase in fuel prices, competition and environmental pressures. The centrifugal compressor, which has far superior pressure ratio per stage than axial compressors currently used in most aircraft engines, can play a major role in this improvement. Indeed, the replacement of many axial compressor stages by a single centrifugal compressor stage will result in simpler, shorter and lighter aero-engines. However, the aerodynamic performance and technology of centrifugal compressors must be brought close to that of axial compressors. The proposed research will build on experience and developments in axial compressor technology to significantly improve the aerodynamics of centrifugal compressors for wider use in aero-propulsion. It will seek to improve the adiabatic efficiency and stall margin of centrifugal compressors as well as reduce the degradation of these parameters with engine age. It is proposed to do so through investigation and understanding of the flow physics and developing effective design and flow control strategies by using a pioneering cost-effective approach that takes advantage of the rapid evolution in additive manufacturing (3D printing) technology. First, additive manufacturing technology allows for the exploration highly complex designs that were not practical or possible with standard manufacturing technology. In addition, polymer 3D printing technology allows forfastfabricationof relatively inexpensive test rigs. The proposed research will rely on low-cost fully instrumented rotating centrifugal compressor rigs custom designed and built with3D printingby large teams of senior undergraduate students in a two-semester final-year design project course that has successfully produced compressor rigs for three years. The test data obtained from the first new rig will serve to validate a computation fluid dynamics (CFD) simulation tool to capture the complex flow field in centrifugal compressors. This simulation tool will be used, along with analytical modelling, by graduate students to elucidate/understand the flow mechanisms associated with the three aspects studied and predict the effect of aerodynamic improvement strategies. The second new rig will then serve to experimentally validate these strategies. In doing so, this research will provide cost-effective training of a large number of HQP in all three aspects of engineering (analytical/numerical/experimental) and provide industry with sought-after experts in centrifugal compressor technology not only for aeronautics but also for the very wide variety of industries that use this technology.",HuuDuc Vo,Polytechnique Montréal
10,Aerospace composites mechanical damage prediction through multi-scale modelling ( 2016/17-2019/20 ),https://cognit.ca/en/research/project/13326,"The replacement of metallic aerospace parts by the introduction of composites in the 1960's offered the promises of lighter aircraft. Lighter aircraft consume less fuel, which provides a competitive advantage to aircraft manufacturers, and reduce polluting emanations, which is essential to ensure Earth's sustainability. Yet, weight savings in Canadian aircraft range from 0 to 5% , whereas senior aerospace composites experts believe that it could safely be around 15%, and beyond with new composites .Prohibitively expensive certification costs and over-conservative safety factors contribute to this poor performance. This situation must absolutely be remedied to maintain Canada's competitiveness in aerospace. Accurate composites predictive damage models could significantly decrease the weight of composite parts, since: i ) some certification tests could be replaced by predictions, which would accelerate the introduction newer materials of improved performance and ii ) accurate models will lead to lower safety factors, and hence, to lighter aircraft. The World Wide Failure Exercise on composites revealed that current models cannot predict composite failure within reasonable accuracy for every load case. Composites damage is a complex process initiated by sub-micron cracks that propagate through the hierarchy of scales. C lassical continuum mechanic is ill-suited for handling these discontinuities. The proposed research program aims at developing a multi-scale framework for predicting composites failure by simultaneously investigating: i ) experimental methods for identifying relevant material parameters, ii ) models for predicting composites damage initiation and propagation and iii ) numerical strategies for delivering efficient composites damage predictions. The program relies on Peridynamics , which is a relatively new formulation for continuum mechanics that eludes most of the classical approaches' shortcomings. The research will be carried out by 4 PhD students and 1 post-doctoral fellow, supported by 13 undergraduate students and 1 research associate. Most graduate students will be co-supervised by professors of complementary expertise (experimental, theoretical and numerical). Every PhD student will perform a short-time (2-3 weeks) internship with well-known international experts, as well as a four-month internship in an aerospace company as part of a larger training program aiming at improving the aerospace industry readinyness level of graduate students. This program should trigger the essential paradigm shift for properly addressing composites damage prediction, and hence reap the full weight reduction potential composites offer. The methodology is tailored for the aerospace industry to accelerate its transfer with the next generation of experts that will be specifically trained for that objective throughout the program.",Martin Lévesque,Polytechnique Montréal
