,Unnamed: 0,title,author,university,link,body
0,0,The Impact of the Automobile on Seniors' Well-Being in Alberta ( 2019/20 ),Leah Anderson,University of Alberta,https://cognit.ca/en/research/project/227836, 
1,1,Caring Canines along a Continuum of Continuing Care ( 2018/19 ),Ardra L Cole,Mount Saint Vincent University,https://cognit.ca/en/research/project/187307, 
2,2,Alone in a crowd: social isolation among urban-dwelling older women ( 2017/18-2019/20 ),Rachel Weldrick,McMaster University,https://cognit.ca/en/research/project/115864, 
3,3,Alone in a Crowd: Social isolation among urban-dwelling older women ( 2017/18-2020/21 ),Rachel Weldrick,McMaster University,https://cognit.ca/en/research/project/146705, 
4,4,Programme de promotion du «bien vivre ensemble» et de lutte contre la maltraitance entre résidents : Améliorer la vie collective en résidence privée pour aînés ( 2018/19-2019/20 ),Marie Beaulieu,Université de Sherbrooke,https://cognit.ca/en/research/project/187144, 
5,5,Améliorer la vie collective en résidence privée pour aînés : établir les besoins en matière de lutte contre la maltraitance entre résidents et de promotion du « bien vivre ensemble » ( 2018/19 ),Marie Beaulieu,Université de Sherbrooke,https://cognit.ca/en/research/project/187310, 
6,6,Optimizing the health of Canadian seniors: The development and evaluation of a multi-chronic disease KT tool ( 2016/17-2020/21 ),Monika Kastner,North York General Hospital,https://cognit.ca/en/research/project/151736, 
7,7,"Optimizing the health of seniors: The development, implementation, and evaluation of an electronic multi-chronic disease tool (e-MCD) ( 2015/16-2019/20 )",Monika Kastner,North York General Hospital,https://cognit.ca/en/research/project/147498, 
8,8,Understanding the effectiveness and underlying mechanisms of interventions for socially frailty older adults: A systematic review alongside a realist review ( 2020/21 ),Monika Kastner,North York General Hospital,https://cognit.ca/en/research/project/231284, 
9,9,"Understanding how vulnerable older adults (are new immigrants, Indigenous, have mild-to-moderate dementia or identify as LGBTQ) experience social isolation and loneliness ( 2019/20-2020/21 )",Monika Kastner,North York General Hospital,https://cognit.ca/en/research/project/215737, 
10,10,Social frailty interventions that can best support vulnerable older adults during the COVID-19 pandemic: A rapid review ( 2020/21 ),Monika Kastner,North York General Hospital,https://cognit.ca/en/research/project/232387, 
11,11,Neuro-muscular innervation in neonatal intestinal development ( 2016/17-2019/20 ),Michael Blennerhassett,Queen's University,https://cognit.ca/en/research/project/2309, 
