,title,author,university,link,body,polarity
0,Addressing the challenges of client retention and service utilization in elder abuse interventions ( 2016/17-2019/20 ),David Burnes,University of Toronto,https://cognit.ca/en/research/project/109991,"Elder abuse is a pervasive form of inter-personal violence in Canada that affects almost one out of every ten older adults in the community each year. Unresolved elder abuse is independently associated with serious consequences, including shortened survival, poor physical and mental health, and a diminished quality of life. With no coordinated elder abuse primary prevention efforts in place, the absolute scope of this problem is expected to double over the next 25 years in step with our aging population. The community-based elder abuse response system in Canada responsible for addressing substantiated cases of mistreatment is in a nascent stage of development. Across the country, the response system is composed of different, untested program models of intervention. Thus, increasing numbers of elder abuse victims each year are exposed to programs that lack evidence of effectiveness. Elder abuse scholars and experts widely recognize that knowledge of effective response interventions represents the greatest gap in the literature. Unless an older adult lacks cognitive capacity, elder abuse response programs are voluntary and older adult clients have the right to self-determination. Thus, elder clients can choose to refuse services altogether, drop out, or accept services with varying levels of commitment. Client attrition and under-utilization of services is a major problem facing elder abuse response programs. Lower levels of service utilization are associated with a heightened risk of re-victimization and, in turn, adverse health and psychosocial consequences. Identifying ways to engage older adult victims with response program support is a priority. Building directly from Insight Development Grant-funded work, the proposed study seeks to address the challenge of elder abuse response program client attrition and under-utilization of services. Informed by a postmodern, constructivist practice orientation that accepts multiple mistreatment realities and different perceptions of an appropriate solution across cases, this study aims to test the use of goal attainment scaling (GAS) as an intervention to enhance client retention and service utilization. GAS is a client-centered intervention that requires client-practitioner collaboration and mutual understanding of goals and tasks towards the objective of reducing the risk of re-victimization. By enhancing the working relationship between client and practitioner and empowering the client to be an active participant in the construction of a treatment plan, GAS is expected to increase levels of retention and service utilization. The proposed study has the potential to make important contributions to scholarship, community response programs and, ultimately, victims of elder abuse. Using prospective, randomized control trial research methods to test the GAS intervention, this study would represent one of the most rigorous elder abuse intervention studies to date both in Canada and worldwide and would help advance a limited elder abuse intervention literature. Identifying an evidence-based intervention for community elder abuse response programs would help strengthen an under-developed response system in Canada and inform daily practice with older adults. This research will reach a field of elder abuse that is inherently interdisciplinary, including gerontology, social work, law, criminal justice, medicine, and other disciplines. The proposed study is novel in that it represents the first formal attempt to address challenges of client retention and service utilization in the context of elder abuse intervention.",0.08841362126245847
1,What Does Engagement Look Like with Victims of Elder Abuse in Community Support Services? ( 2019/20 ),David Burnes,University of Toronto,https://cognit.ca/en/research/project/226573,No summary,0.0
2,"""linkAGEs - Aging in Intergenerational Societies"": 2020 Annual NICE Knowledge Exchange ( 2019/20 )",Lynn McDonald,University of Toronto,https://cognit.ca/en/research/project/225173,No summary,0.0
3,The potential for elders' cultural knowledge to contribute to a new education futurity ( 2017/18-2019/20 ),George Sefa Dei,University of Toronto,https://cognit.ca/en/research/project/113011,"Black youth in Canada face significant disparities in educational, social, and economic and employment outcomes, and formal educational systems continue to fail to meet their needs. The primary question we address is: How can we revise education to help address some of the challenges facing Black populations and the education of youth in particular? In many Indigenous communities around the world, Elders play an important and positive role in raising/educating youth. In Canada, prominent older members of the Black community could potentially play the role of supportive figures to diasporic Black youth, similar to Elders in other Indigenous communities. In order to develop best practices of such contribution, existing models of the role Elders play in education and social development of youth need to be studied. Thus, we aim to investigate the role of Elders in educating youth in African Indigenous communities and in Canadian educational institutions so as to support the contribution of older community members for youth education and development in Canadian Black communities. The study has 4 objectives: (1) clarify how African Elders could serve as cultural knowledge custodians in Canadian schools, the effects that Elders' cultural knowledge may have on Black and minority education, and challenges to integrating Elders into Canadian schools; (2) identify teachings relating to community, social responsibility, environment, Land, social justice, equity, youth leadership, respect, and mutual interdependence that can be learned from Elders, and how these could influence educational and social successes for youth and help develop a counter-vision of education; (3) identify the roles of, and challenges faced by, community Elders in the teaching of cultural knowledge in specific case studies in Africa and Canada; and (4) determine, by comparing and analyzing case studies, the most promising approaches that can be adopted by educators in pluralistic contexts who wish to work with local cultural knowledge in support of counter-visions for education. This study will be informed by an Indigenist anti-colonial analysis of how Indigenous cultural knowledge and ideas can subvert colonial relations, processes, and practices of education to improve learning outcomes for youth. Over the course of three years, we will conduct qualitative case study analyses of educational outlets that use Elders' cultural knowledges and incorporate Elders as educators. Data will be collected via interviews and focus group discussions with Elders, students, community and professional educators, and parents in two African countries (Ghana and South Africa) and two Black communities in Canada (Toronto and Halifax). The data will allow comparisons between national cultures/systems as well as local variations within each community and education site. Chosen sites in Africa are known for their pioneering work in Indigenous and cultural knowledge, and those in Canada have established community educational outlets that include Elders and their knowledges, along with professional educators. Findings will contribute to theory on Indigenization and decolonization in education, and will offer unique empirical data about the role of African Elders in education. The study will yield a book, scholarly referred articles, and non-refereed community publications for professional and practitioner audiences. The knowledge mobilization plan entails developing workshops and presentations for Canadian schools, and community sessions for educational practitioners. Conference presentations and other activities bring together students, educators, and community members to discuss ways for educational institutions to tap into the wealth of Elders' cultural knowledge.",0.10454545454545448
4,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from from hospitals and emergency Departments to the cOMmunity: the LEARNING WISDOM Phase II scale-up project ( 2017/18-2020/21 ),Patrick Archambault,Laval University,https://cognit.ca/en/research/project/153228,"Elderly patients do not always receive the best care to help them return home after being discharged from the hospital. The connections between the hospital and community-care settings are often inadequate. As a result, elderly patients may be repeatedly readmitted to the hospital and their capacity to function may decrease. Caregivers may feel more burdened by the increasing care for their elderly loved ones. As well, healthcare costs increase. Mount Sinai Hospital in Toronto developed the Acute Care for Elders (ACE) program to improve healthcare for the elderly. By using innovative strategies such as transition coaches, follow-up calls and patient self-care guides, the ACE program reduced lengths of hospital stay and readmissions for elderly patients, increased patient satisfaction, and saved the healthcare system over $6 million in 2014. In 2016, the Centre integre en sante et en services sociaux de Chaudiere-Appalaches (CISSS CA) received funding from the Canadian Foundation for Healthcare Improvement and support from Mount Sinai experts to implement the ACE Program in one hospital in the CISSS CA with a focus on improving transitions between hospital and the community for the elderly. The goal of this research project is to implement the ACE Program in three other hospitals within the CISSS CA, using a ""Wiki-suite"" to help adapt and apply the ACE Program to each hospital. The Wiki-suite is an open-source collaborative database of knowledge tools and a training program which help clinicians share information and improve patient care. Our research project will evaluate how the ACE program implemented and improved care transitions for the elderly at these hospitals. We will also evaluate how the Wiki-suite helped adapt and apply the ACE program in participating hospitals.",0.40937500000000004
5,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from emergency Departments to the cOMmunity: the LEARNING WISDOM program ( 2016/17-2020/21 ),Patrick Archambault,Laval University,https://cognit.ca/en/research/project/153897,"Elderly patients discharged from emergency departments are often repeatedly readmitted, lose functioning capacity, and increase caregivers' burden of care. Care becomes fragmented, discontinuous, and costly. In addition, Quebec's Bill 10 has merged healthcare institutions but has not yet integrated their information, human resources or care management systems, resulting in further fragmentation of care. However, using proven (evidence-based) strategies can improve transition for the elderly. The Acute Care for Elders Program at Mount Sinai applied innovative strategies (interventions) which reduced lengths of hospital stay, reduced readmissions, increased patient satisfaction, and saved over $6 million in 2014. Strategies included providing transition coaches, follow-up calls and using discharge order sets and patient self-care guides (knowledge tools). Successful programs often remain an exception, however, because technical challenges and different organizational cultures make adapting them to other contexts difficult. Our WikiTrauma open-source collaborative database and Wiki 101 training program are designed so that a program can be adapted by the people affected (knowledge users) and then applied (implemented) locally. The ""Wiki-suite"" was successfully used in adapting trauma care, and now managers and clinicians want to apply it to geriatrics. This proposal will use the Wiki-suite to adapt and apply the Acute Care for Elders Program, specifically its care transitions component, in four hospitals in the Chaudieres-Appalaches region (CISSS CA) of Quebec. We will assess the impact of using the Wiki-suite to adapt and apply the ACE Program by asking managers, clinicians and patients about its effects on patient empowerment, health outcomes, and costs. We will also explore how the Wiki-suite works in terms of behavior and organizational change to gain insight into using it to adapt any successful program to any local context (scale up).",0.23750000000000002
6,The Canadian Network of COVID-19 Clinical Trials Networks ( 2020/21 ),Patrick Archambault,Laval University,https://cognit.ca/en/research/project/232693,"Nearly 350,000 Canadians have been diagnosed with COVID-19 infection. In Canada, the elderly have been particular vulnerable, with long-term care homes experiencing the greatest burdens of illness and mortality. Civil society and our usual social fabric have been torn, due to illness, loss, school and work interruptions and social distancing. No Canadian sector has been untouched. There is an ongoing risk of acute health care systems being overwhelmed, including the care for our sickest Canadians. To meet the challenge of knowing how to best prevent, diagnose and treat COVID-19, we need coordinated and supported national research, that is responsive to the needs of citizens, patients, families and health systems, and benefits from the expertise of clinicians, researchers, industry, our public health, clinical and biomedical research infrastructure. Bringing the best prevention, diagnostic tests and treatments to Canadians as quickly as possible demands that we work together as Canadians, and with partners around the world. The Canadian Network of COVID-19 Clinical Trials Networks is a diverse, inclusive partnership that will bring resources to partners to get the most from our research response. We will engage citizens and patients, help set dynamic research priorities involving the public and private sectors, facilitate collaboration and resource sharing, harmonize clincial trial procedures, make the research regulatory steps easier, connect data from many clinical trials, mobilize the knowledge we gain to prevent infection, treat patients, help them recover, and end this pandemic. This Network will not only help to get the most from the Canadian COVID-19 research response, but will build research capacity and better prepare us for the future.",0.22992424242424245
7,évaluatioN de l'implAntation d'une interVention Interprofessionnelle de la prise de décision partaGée sur la locAlisaTion de sOins avec les aîNés (NAVIGATION) ( 2019/20-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/216380,"Malgre d'importants investissements publics et un climat favorable a la creation de projets d'amelioration des soins de sante au Canada, peu d'initiatives de recherche ayant un succes a l'echelle locale sont implantees a large echelle dans les organisations de soins pour en faire profiter un plus grand nombre de personnes. Notre equipe a developpe une approche interprofessionnelle de la prise de decision partagee afin d'aider les aines et leurs proches qui font face a la difficile decision de rester chez soi ou de demenager a faire un choix eclaire en fonction de leurs valeurs et preferences, tout en tenant compte des meilleures evidences scientifiques. Nous avons demontre que cette approche augmente la participation active des aines et de leurs proches dans ces decisions, sans aucun effet nefaste sur leur sante. Compte tenu des impacts favorables de cette approche sur les aines, les proches et les professionnels de la sante, le CIUSSS de la Capitale-Nationale a mobilise une equipe pour implanter cette approche dans l'ensemble de son organisation. Ainsi, tous les intervenants des soins a domicile seront formes pour utiliser cette approche avec les usagers. Notre equipe a pour objectif de documenter et evaluer ce processus afin de comprendre comment une organisation de soins peut implanter une innovation a large echelle. Nous proposons de faire des entrevues avec diverses categories de participants : professionnels de la sante, gestionnaires des equipes de soins a domicile, aines et proches aidants. Cette etude nous permettra d'identifier les facteurs qui influencent l'implantation de l'innovation et de recueillir des suggestions d'amelioration. Ultimement, l'implantation de cette approche a le potentiel d'ameliorer la qualite des soins offerts a un plus grand nombre d'aines et leurs proches et de guider les futurs projets qui visent a implanter une innovation dans des organisations de sante dans les pays industrialises.",0.2590476190476191
8,La clinique des ainés : une transition innovante des soins pour aînés fragilisés - Éviter le retour à la case départ. ( 2019/20-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/214763,"Un grand nombre d'etudes soutiennent que le sejour au Departement d'urgence et meme l'hospitalisation peuvent etre dommageables pour les personnes agees. Ces dernieres sont plus a risque de perte d'autonomie et de developper des conditions medicales nouvelles suite a un sejour a l'hopital. En 2017, les gestionnaires de l'Unite de soins de courte duree geriatrique (UCDG) du CHU de Quebec-Universite Laval - l'Hopital Saint-Francois d'Assise (HSFA) ont mesure l'impact du vieillissement de la population locale et les besoins en ressources hospitalieres de leur UCDG, et le constat etait inquietant : on anticipe, en 2031, une augmentation de 175% du nombre de consultations a l'urgence et de 165% le nombre d'hospitalisation. Il serait donc impossible de repondre a ces demandes avec l'infrastructure actuelle. Il fallait penser autrement ! Les gestionnaires et representants medicaux ont decide d'innover en creant la Clinique des aines (CDA) avec le but de diminuer le nombre et la duree des hospitalisations et faire de « l'hospitalisation a domicile » avec des ressources specifiques. La CDA offre des services de clinique externe de soins aux personnes agees, une clinique medicale mobile ainsi qu'une unite d'hospitalisation. Notre projet a donc pour objectif d'evaluer les effets de la transition a la CDA et l'acceptabilite de cette derniere sur les patients aines, leurs proches aidants et sur les professionnels de la sante. A la fin, les conclusions pourront permettre aux decideurs d'orienter les soins aux aines pour les prochaines annees.",-0.16666666666666663
9,Facilitating access across the pregnancy continuum of care - A health system intervention to improve care transitions and health outcomes for Indigenous women in northern Manitoba ( 2019/20 ),France Légaré,Laval University,https://cognit.ca/en/research/project/214869,"Pregnancy is a time of transition for women and families. Throughout pregnancy women receive care in a variety of health settings including office medical care, ultrasound departments, hospitals for birth, and at home after discharge from hospital. Each of these transition requires a connection to various health care providers. The federal government provides health care in most First Nations communities however, in order to receive obstetrical consultations, ultrasound services, and to deliver their babies, women need to transition to the provincial health care system adding yet another layer of complexity. Many barriers including, travel, transportation issues, financial constraints, poor communication, different providers, and weak referral links are encountered through those transitions. For many, relocating for care and birth away from home is characterized by insecurity, strange surroundings, and isolation from family. Women often experience a lack of choice, control and power in these transitions. Effective transitions with improved linkages between programs and services is needed with opportunities for women to participate in shared decision making with their health care providers is a culturally safe manner. A northern pregnancy network is proposed to improve access to care, assist with navigation of complex system transitions, and improve linkages between service providers across systems. The network will be made up of system navigators linked to a core team of service providers, community members and guided by Elders. Culturally safe care and shared-decision making are foundational. It is not enough to facilitate access and navigation, services need to be inclusive and respectful of Indigenous health beliefs. These strategies are expected to increase use of care, decrease low birth weight and premature birth, increase breastfeeding, increase use of well-child care and vaccination rates, and improve patient experiences.",0.1381578947368421
