,title,author,university,link,body,polarity,lemmatized,topic,topics
0,Addressing the challenges of client retention and service utilization in elder abuse interventions ( 2016/17-2019/20 ),David Burnes,University of Toronto,https://cognit.ca/en/research/project/109991,"Elder abuse is a pervasive form of inter-personal violence in Canada that affects almost one out of every ten older adults in the community each year. Unresolved elder abuse is independently associated with serious consequences, including shortened survival, poor physical and mental health, and a diminished quality of life. With no coordinated elder abuse primary prevention efforts in place, the absolute scope of this problem is expected to double over the next 25 years in step with our aging population. The community-based elder abuse response system in Canada responsible for addressing substantiated cases of mistreatment is in a nascent stage of development. Across the country, the response system is composed of different, untested program models of intervention. Thus, increasing numbers of elder abuse victims each year are exposed to programs that lack evidence of effectiveness. Elder abuse scholars and experts widely recognize that knowledge of effective response interventions represents the greatest gap in the literature. Unless an older adult lacks cognitive capacity, elder abuse response programs are voluntary and older adult clients have the right to self-determination. Thus, elder clients can choose to refuse services altogether, drop out, or accept services with varying levels of commitment. Client attrition and under-utilization of services is a major problem facing elder abuse response programs. Lower levels of service utilization are associated with a heightened risk of re-victimization and, in turn, adverse health and psychosocial consequences. Identifying ways to engage older adult victims with response program support is a priority. Building directly from Insight Development Grant-funded work, the proposed study seeks to address the challenge of elder abuse response program client attrition and under-utilization of services. Informed by a postmodern, constructivist practice orientation that accepts multiple mistreatment realities and different perceptions of an appropriate solution across cases, this study aims to test the use of goal attainment scaling (GAS) as an intervention to enhance client retention and service utilization. GAS is a client-centered intervention that requires client-practitioner collaboration and mutual understanding of goals and tasks towards the objective of reducing the risk of re-victimization. By enhancing the working relationship between client and practitioner and empowering the client to be an active participant in the construction of a treatment plan, GAS is expected to increase levels of retention and service utilization. The proposed study has the potential to make important contributions to scholarship, community response programs and, ultimately, victims of elder abuse. Using prospective, randomized control trial research methods to test the GAS intervention, this study would represent one of the most rigorous elder abuse intervention studies to date both in Canada and worldwide and would help advance a limited elder abuse intervention literature. Identifying an evidence-based intervention for community elder abuse response programs would help strengthen an under-developed response system in Canada and inform daily practice with older adults. This research will reach a field of elder abuse that is inherently interdisciplinary, including gerontology, social work, law, criminal justice, medicine, and other disciplines. The proposed study is novel in that it represents the first formal attempt to address challenges of client retention and service utilization in the context of elder abuse intervention.",0.0884136212624584,elder abus pervas form inter person violenc canada affect older adult communiti year unresolv elder abus independ associ consequ includ shorten surviv poor physic mental health diminish qualiti life coordin elder abus primari prevent effort place absolut scope problem expect doubl year step age popul communiti base elder abus respons canada respons address substanti case mistreat nascent stage develop countri respons compos differ untest program model intervent increas number elder abus victim year expos program lack evid effect elder abus scholar expert wide recogn knowledg effect respons intervent repres greatest literatur older adult lack cognit capac elder abus respons program voluntari older adult client right self determin elder client choos refus servic altogeth drop accept servic vari level commit client attrit util servic major problem face elder abus respons program lower level servic util associ heighten risk victim turn advers health psychosoci consequ identifi way engag older adult victim respons program support prioriti build direct insight develop grant fund work propos studi seek address challeng elder abus respons program client attrit util servic inform postmodern constructivist practic orient accept multipl mistreat realiti differ percept appropri solut case studi aim test goal attain scale intervent enhanc client retent servic util client center intervent requir client practition collabor mutual understand goal task object reduc risk victim enhanc work relationship client practition empow client activ particip construct treatment plan expect increas level retent servic util propos studi potenti import contribut scholarship communiti respons program ultim victim elder abus prospect random control trial research method test intervent studi repres rigor elder abus intervent studi date canada worldwid help advanc limit elder abus intervent literatur identifi evid base intervent communiti elder abus respons program help strengthen develop respons canada inform daili practic older adult research reach field elder abus inher includ gerontolog social work crimin justic medicin disciplin propos studi novel repres formal attempt address challeng client retent servic util context elder abus intervent,0,"health, environment"
1,The potential for elders' cultural knowledge to contribute to a new education futurity ( 2017/18-2019/20 ),George Sefa Dei,University of Toronto,https://cognit.ca/en/research/project/113011,"Black youth in Canada face significant disparities in educational, social, and economic and employment outcomes, and formal educational systems continue to fail to meet their needs. The primary question we address is: How can we revise education to help address some of the challenges facing Black populations and the education of youth in particular? In many Indigenous communities around the world, Elders play an important and positive role in raising/educating youth. In Canada, prominent older members of the Black community could potentially play the role of supportive figures to diasporic Black youth, similar to Elders in other Indigenous communities. In order to develop best practices of such contribution, existing models of the role Elders play in education and social development of youth need to be studied. Thus, we aim to investigate the role of Elders in educating youth in African Indigenous communities and in Canadian educational institutions so as to support the contribution of older community members for youth education and development in Canadian Black communities. The study has 4 objectives: (1) clarify how African Elders could serve as cultural knowledge custodians in Canadian schools, the effects that Elders' cultural knowledge may have on Black and minority education, and challenges to integrating Elders into Canadian schools; (2) identify teachings relating to community, social responsibility, environment, Land, social justice, equity, youth leadership, respect, and mutual interdependence that can be learned from Elders, and how these could influence educational and social successes for youth and help develop a counter-vision of education; (3) identify the roles of, and challenges faced by, community Elders in the teaching of cultural knowledge in specific case studies in Africa and Canada; and (4) determine, by comparing and analyzing case studies, the most promising approaches that can be adopted by educators in pluralistic contexts who wish to work with local cultural knowledge in support of counter-visions for education. This study will be informed by an Indigenist anti-colonial analysis of how Indigenous cultural knowledge and ideas can subvert colonial relations, processes, and practices of education to improve learning outcomes for youth. Over the course of three years, we will conduct qualitative case study analyses of educational outlets that use Elders' cultural knowledges and incorporate Elders as educators. Data will be collected via interviews and focus group discussions with Elders, students, community and professional educators, and parents in two African countries (Ghana and South Africa) and two Black communities in Canada (Toronto and Halifax). The data will allow comparisons between national cultures/systems as well as local variations within each community and education site. Chosen sites in Africa are known for their pioneering work in Indigenous and cultural knowledge, and those in Canada have established community educational outlets that include Elders and their knowledges, along with professional educators. Findings will contribute to theory on Indigenization and decolonization in education, and will offer unique empirical data about the role of African Elders in education. The study will yield a book, scholarly referred articles, and non-refereed community publications for professional and practitioner audiences. The knowledge mobilization plan entails developing workshops and presentations for Canadian schools, and community sessions for educational practitioners. Conference presentations and other activities bring together students, educators, and community members to discuss ways for educational institutions to tap into the wealth of Elders' cultural knowledge.",0.1045454545454544,black youth canada face signific dispar educ social econom employ outcom formal educ system continu fail meet need primari question address revis educ help address challeng face black popul educ youth particular indigen communiti world elder play import posit role rais educ youth canada promin older member black communiti potenti play role support figur diaspor black youth similar elder indigen communiti order develop best practic contribut exist model role elder play educ social develop youth need studi investig role elder educ youth african indigen communiti canadian educ institut support contribut older communiti member youth educ develop canadian black communiti studi object clarifi african elder serv cultur knowledg custodian canadian school effect elder cultur knowledg black minor educ challeng integr elder canadian school identifi teach relat communiti social respons environ land social justic equiti youth leadership respect mutual interdepend learn elder influenc educ social success youth help develop counter vision educ identifi role challeng face communiti elder teach cultur knowledg specif case studi africa canada determin compar analyz case studi promis approach adopt educ pluralist context wish work local cultur knowledg support counter vision educ studi inform indigenist anti coloni analysi indigen cultur knowledg idea subvert coloni relat process practic educ improv learn outcom youth cours year conduct qualit case studi analys educ outlet elder cultur knowledg incorpor elder educ data collect interview focus group discuss elder student communiti profession educ parent african countri ghana south africa black communiti canada toronto halifax data allow comparison nation cultur system local variat communiti educ site choos sit africa know pioneer work indigen cultur knowledg canada establish communiti educ outlet includ elder knowledg profession educ find contribut theori indigen decolon educ offer uniqu empir data role african elder educ studi yield book scholar refer articl refere communiti public profession practition audienc knowledg mobil plan entail develop workshop present canadian school communiti session educ practition confer present activ bring student educ communiti member discuss way educ institut wealth elder cultur knowledg,0,"health, environment"
2,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from from hospitals and emergency Departments to the cOMmunity: the LEARNING WISDOM Phase II scale-up project ( 2017/18-2020/21 ),Patrick Archambault,Laval University,https://cognit.ca/en/research/project/153228,"Elderly patients do not always receive the best care to help them return home after being discharged from the hospital. The connections between the hospital and community-care settings are often inadequate. As a result, elderly patients may be repeatedly readmitted to the hospital and their capacity to function may decrease. Caregivers may feel more burdened by the increasing care for their elderly loved ones. As well, healthcare costs increase. Mount Sinai Hospital in Toronto developed the Acute Care for Elders (ACE) program to improve healthcare for the elderly. By using innovative strategies such as transition coaches, follow-up calls and patient self-care guides, the ACE program reduced lengths of hospital stay and readmissions for elderly patients, increased patient satisfaction, and saved the healthcare system over $6 million in 2014. In 2016, the Centre integre en sante et en services sociaux de Chaudiere-Appalaches (CISSS CA) received funding from the Canadian Foundation for Healthcare Improvement and support from Mount Sinai experts to implement the ACE Program in one hospital in the CISSS CA with a focus on improving transitions between hospital and the community for the elderly. The goal of this research project is to implement the ACE Program in three other hospitals within the CISSS CA, using a ""Wiki-suite"" to help adapt and apply the ACE Program to each hospital. The Wiki-suite is an open-source collaborative database of knowledge tools and a training program which help clinicians share information and improve patient care. Our research project will evaluate how the ACE program implemented and improved care transitions for the elderly at these hospitals. We will also evaluate how the Wiki-suite helped adapt and apply the ACE program in participating hospitals.",0.409375,elder patient receiv best care help return home discharg hospit connect hospit communiti care set inadequ result elder patient repeat readmit hospit capac function decreas caregiv feel burden increas care elder love one healthcar cost increas mount sinai hospit toronto develop acut care elder program improv healthcar elder innov strategi transit coach follow call patient self care guid program reduc length hospit stay readmiss elder patient increas patient satisfact save healthcar million centr integr sant servic sociaux chaudier appalach cisss receiv fund canadian foundat healthcar improv support mount sinai expert implement program hospit cisss focus improv transit hospit communiti elder goal research project implement program hospit cisss wiki suit help adapt appli program hospit wiki suit open sourc collabor databas knowledg tool train program help clinician share inform improv patient care research project evalu program implement improv care transit elder hospit evalu wiki suit help adapt appli program particip hospit,1,"health, house, money, volunteer, abuse"
3,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from emergency Departments to the cOMmunity: the LEARNING WISDOM program ( 2016/17-2020/21 ),Patrick Archambault,Laval University,https://cognit.ca/en/research/project/153897,"Elderly patients discharged from emergency departments are often repeatedly readmitted, lose functioning capacity, and increase caregivers' burden of care. Care becomes fragmented, discontinuous, and costly. In addition, Quebec's Bill 10 has merged healthcare institutions but has not yet integrated their information, human resources or care management systems, resulting in further fragmentation of care. However, using proven (evidence-based) strategies can improve transition for the elderly. The Acute Care for Elders Program at Mount Sinai applied innovative strategies (interventions) which reduced lengths of hospital stay, reduced readmissions, increased patient satisfaction, and saved over $6 million in 2014. Strategies included providing transition coaches, follow-up calls and using discharge order sets and patient self-care guides (knowledge tools). Successful programs often remain an exception, however, because technical challenges and different organizational cultures make adapting them to other contexts difficult. Our WikiTrauma open-source collaborative database and Wiki 101 training program are designed so that a program can be adapted by the people affected (knowledge users) and then applied (implemented) locally. The ""Wiki-suite"" was successfully used in adapting trauma care, and now managers and clinicians want to apply it to geriatrics. This proposal will use the Wiki-suite to adapt and apply the Acute Care for Elders Program, specifically its care transitions component, in four hospitals in the Chaudieres-Appalaches region (CISSS CA) of Quebec. We will assess the impact of using the Wiki-suite to adapt and apply the ACE Program by asking managers, clinicians and patients about its effects on patient empowerment, health outcomes, and costs. We will also explore how the Wiki-suite works in terms of behavior and organizational change to gain insight into using it to adapt any successful program to any local context (scale up).",0.2375,elder patient discharg emerg depart repeat readmit lose function capac increas caregiv burden care care fragment discontinu cost addit quebec merg healthcar institut integr inform human resourc care manag system result fragment care prove evid base strategi improv transit elder acut care elder program mount sinai appli innov strategi intervent reduc length hospit stay reduc readmiss increas patient satisfact save million strategi includ provid transit coach follow call discharg order set patient self care guid knowledg tool success program remain except technic challeng differ organiz cultur adapt context difficult wikitrauma open sourc collabor databas wiki train program design program adapt peopl affect knowledg user appli implement local wiki suit success adapt trauma care manag clinician want appli geriatr propos wiki suit adapt appli acut care elder program specif care transit compon hospit chaudier appalach region cisss quebec assess impact wiki suit adapt appli program ask manag clinician patient effect patient empower health outcom cost explor wiki suit work term behavior organiz chang gain insight adapt success program local context scale,1,"health, house, money, volunteer, abuse"
4,The Canadian Network of COVID-19 Clinical Trials Networks ( 2020/21 ),Patrick Archambault,Laval University,https://cognit.ca/en/research/project/232693,"Nearly 350,000 Canadians have been diagnosed with COVID-19 infection. In Canada, the elderly have been particular vulnerable, with long-term care homes experiencing the greatest burdens of illness and mortality. Civil society and our usual social fabric have been torn, due to illness, loss, school and work interruptions and social distancing. No Canadian sector has been untouched. There is an ongoing risk of acute health care systems being overwhelmed, including the care for our sickest Canadians. To meet the challenge of knowing how to best prevent, diagnose and treat COVID-19, we need coordinated and supported national research, that is responsive to the needs of citizens, patients, families and health systems, and benefits from the expertise of clinicians, researchers, industry, our public health, clinical and biomedical research infrastructure. Bringing the best prevention, diagnostic tests and treatments to Canadians as quickly as possible demands that we work together as Canadians, and with partners around the world. The Canadian Network of COVID-19 Clinical Trials Networks is a diverse, inclusive partnership that will bring resources to partners to get the most from our research response. We will engage citizens and patients, help set dynamic research priorities involving the public and private sectors, facilitate collaboration and resource sharing, harmonize clincial trial procedures, make the research regulatory steps easier, connect data from many clinical trials, mobilize the knowledge we gain to prevent infection, treat patients, help them recover, and end this pandemic. This Network will not only help to get the most from the Canadian COVID-19 research response, but will build research capacity and better prepare us for the future.",0.2299242424242424,near canadian diagnos covid infect canada elder particular vulner long term care home experi greatest burden ill mortal civil societi usual social fabric tear ill loss school work interrupt social distanc canadian sector untouch ongo risk acut health care system overwhelm includ care sickest canadian meet challeng know best prevent diagnos treat covid need coordin support nation research respons need citizen patient famili health system benefit expertis clinician research industri public health clinic biomed research infrastructur bring best prevent diagnost test treatment canadian quick possibl demand work canadian partner world canadian network covid clinic trial network divers inclus partnership bring resourc partner research respons engag citizen patient help dynam research prioriti involv public privat sector facilit collabor resourc share harmon clincial trial procedur research regulatori step easier connect data clinic trial mobil knowledg gain prevent infect treat patient help recov pandem network help canadian covid research respons build research capac better prepar futur,-1,"health, environment"
5,évaluatioN de l'implAntation d'une interVention Interprofessionnelle de la prise de décision partaGée sur la locAlisaTion de sOins avec les aîNés (NAVIGATION) ( 2019/20-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/216380,"Malgre d'importants investissements publics et un climat favorable a la creation de projets d'amelioration des soins de sante au Canada, peu d'initiatives de recherche ayant un succes a l'echelle locale sont implantees a large echelle dans les organisations de soins pour en faire profiter un plus grand nombre de personnes. Notre equipe a developpe une approche interprofessionnelle de la prise de decision partagee afin d'aider les aines et leurs proches qui font face a la difficile decision de rester chez soi ou de demenager a faire un choix eclaire en fonction de leurs valeurs et preferences, tout en tenant compte des meilleures evidences scientifiques. Nous avons demontre que cette approche augmente la participation active des aines et de leurs proches dans ces decisions, sans aucun effet nefaste sur leur sante. Compte tenu des impacts favorables de cette approche sur les aines, les proches et les professionnels de la sante, le CIUSSS de la Capitale-Nationale a mobilise une equipe pour implanter cette approche dans l'ensemble de son organisation. Ainsi, tous les intervenants des soins a domicile seront formes pour utiliser cette approche avec les usagers. Notre equipe a pour objectif de documenter et evaluer ce processus afin de comprendre comment une organisation de soins peut implanter une innovation a large echelle. Nous proposons de faire des entrevues avec diverses categories de participants : professionnels de la sante, gestionnaires des equipes de soins a domicile, aines et proches aidants. Cette etude nous permettra d'identifier les facteurs qui influencent l'implantation de l'innovation et de recueillir des suggestions d'amelioration. Ultimement, l'implantation de cette approche a le potentiel d'ameliorer la qualite des soins offerts a un plus grand nombre d'aines et leurs proches et de guider les futurs projets qui visent a implanter une innovation dans des organisations de sante dans les pays industrialises.",0.2590476190476191,malgr import investiss public climat favor creation projet amelior soin sant canada initi recherch ayant succ echell local sont implante larg echell dan organis soin pour fair profit plus grand nombr personn notr equip developp approch prise decis partage afin aider ain leur proch font face difficil decis rester chez demenag fair choix eclair fonction leur valeur prefer tout tenant compt meilleur evid scientifiqu nous avon demontr cett approch augment particip activ ain leur proch dan decis san aucun effet nefast leur sant compt tenu impact favor cett approch ain proch professionnel sant ciusss capital national mobilis equip pour implant cett approch dan ensembl organis ainsi tous interven soin domicil seront form pour utilis cett approch avec usag notr equip pour objectif document evalu processus afin comprendr comment organis soin peut implant innov larg echell nous proposon fair entrevu avec divers categori particip professionnel sant gestionnair equip soin domicil ain proch aidant cett etud nous permettra identifi facteur influenc implant innov recueillir suggest amelior ultim implant cett approch potentiel amelior qualit soin offert plus grand nombr ain leur proch guider futur projet visent implant innov dan organis sant dan pay industrialis,-1,"health, environment"
6,La clinique des ainés : une transition innovante des soins pour aînés fragilisés - Éviter le retour à la case départ. ( 2019/20-2020/21 ),France Légaré,Laval University,https://cognit.ca/en/research/project/214763,"Un grand nombre d'etudes soutiennent que le sejour au Departement d'urgence et meme l'hospitalisation peuvent etre dommageables pour les personnes agees. Ces dernieres sont plus a risque de perte d'autonomie et de developper des conditions medicales nouvelles suite a un sejour a l'hopital. En 2017, les gestionnaires de l'Unite de soins de courte duree geriatrique (UCDG) du CHU de Quebec-Universite Laval - l'Hopital Saint-Francois d'Assise (HSFA) ont mesure l'impact du vieillissement de la population locale et les besoins en ressources hospitalieres de leur UCDG, et le constat etait inquietant : on anticipe, en 2031, une augmentation de 175% du nombre de consultations a l'urgence et de 165% le nombre d'hospitalisation. Il serait donc impossible de repondre a ces demandes avec l'infrastructure actuelle. Il fallait penser autrement ! Les gestionnaires et representants medicaux ont decide d'innover en creant la Clinique des aines (CDA) avec le but de diminuer le nombre et la duree des hospitalisations et faire de « l'hospitalisation a domicile » avec des ressources specifiques. La CDA offre des services de clinique externe de soins aux personnes agees, une clinique medicale mobile ainsi qu'une unite d'hospitalisation. Notre projet a donc pour objectif d'evaluer les effets de la transition a la CDA et l'acceptabilite de cette derniere sur les patients aines, leurs proches aidants et sur les professionnels de la sante. A la fin, les conclusions pourront permettre aux decideurs d'orienter les soins aux aines pour les prochaines annees.",-0.1666666666666666,grand nombr etud soutienn sejour depart urgenc meme hospitalis peuvent etr dommag pour personn age dernier sont plus risqu pert autonomi developp condit medical nouvell suit sejour hopit gestionnair unit soin court dure geriatriqu ucdg quebec universit laval hopit saint francoi assis hsfa mesur impact vieilliss popul local besoin ressourc hospitalier leur ucdg constat etait inquiet anticip augment nombr consult urgenc nombr hospitalis serait donc imposs repondr demand avec infrastructur actuell fallait penser autrement gestionnair represent medicaux decid innov creant cliniqu ain avec diminu nombr dure fair hospitalis domicil avec ressourc specifiqu offr servic cliniqu extern soin personn age cliniqu medical mobil ainsi unit hospitalis notr projet donc pour objectif evalu effet transit acceptabilit cett dernier patient ain leur proch aidant professionnel sant conclus pourront permettr decideur orient soin ain pour prochain anne,-1,"health, environment"
7,Facilitating access across the pregnancy continuum of care - A health system intervention to improve care transitions and health outcomes for Indigenous women in northern Manitoba ( 2019/20 ),France Légaré,Laval University,https://cognit.ca/en/research/project/214869,"Pregnancy is a time of transition for women and families. Throughout pregnancy women receive care in a variety of health settings including office medical care, ultrasound departments, hospitals for birth, and at home after discharge from hospital. Each of these transition requires a connection to various health care providers. The federal government provides health care in most First Nations communities however, in order to receive obstetrical consultations, ultrasound services, and to deliver their babies, women need to transition to the provincial health care system adding yet another layer of complexity. Many barriers including, travel, transportation issues, financial constraints, poor communication, different providers, and weak referral links are encountered through those transitions. For many, relocating for care and birth away from home is characterized by insecurity, strange surroundings, and isolation from family. Women often experience a lack of choice, control and power in these transitions. Effective transitions with improved linkages between programs and services is needed with opportunities for women to participate in shared decision making with their health care providers is a culturally safe manner. A northern pregnancy network is proposed to improve access to care, assist with navigation of complex system transitions, and improve linkages between service providers across systems. The network will be made up of system navigators linked to a core team of service providers, community members and guided by Elders. Culturally safe care and shared-decision making are foundational. It is not enough to facilitate access and navigation, services need to be inclusive and respectful of Indigenous health beliefs. These strategies are expected to increase use of care, decrease low birth weight and premature birth, increase breastfeeding, increase use of well-child care and vaccination rates, and improve patient experiences.",0.1381578947368421,pregnanc time transit women famili pregnanc women receiv care varieti health set includ offic medic care ultrasound depart hospit birth home discharg hospit transit requir connect health care provid feder govern provid health care nation communiti order receiv obstetr consult ultrasound servic deliv babi women need transit provinci health care add layer complex barrier includ travel transport issu financi constraint poor communic differ provid weak referr link encount transit reloc care birth away home character insecur strang surround isol famili women experi lack choic control power transit effect transit improv linkag program servic need opportun women particip share decis make health care provid cultur safe manner northern pregnanc network propos improv access care assist navig complex transit improv linkag servic provid system network navig link core team servic provid communiti member guid elder cultur safe care share decis make foundat facilit access navig servic need inclus respect indigen health belief strategi expect increas care decreas birth weight prematur birth increas breastfe increas child care vaccin rat improv patient experi,-1,"health, environment"
8,Canadian Frailty Network - Technology Evaluation in the Elderly Network (TVN) ( 2017/18-2020/21 ),John Muscedere,Queen's University,https://cognit.ca/en/research/project/151844,"Canadian Frailty Network (CFN) is Canada's Networks of Centres of Excellence (NCE) focussed on frailty, a common yet under-recognized health state associated with functional decline, chronic illness, multiple health problems, cognitive impairment and poorer health outcomes in late life. Recognizing the growing prevalence of frailty and the dearth of research evidence to address the complex care needs of frail elderly Canadians, in 2012 NCE awarded CFN (Technology Evaluation in the Elderly Network) a funding mandate to improve the care of frail elderly Canadians and their families within the Canadian healthcare system through the development, rigorous evaluation and ethically-guided implementation of evidence-informed care strategies and practices. The burden of frailty in Canada is steadily growing. Today, approximately 25% of seniors over age 65 and 50% past 85 – over one million Canadians – are medically frail. These individuals are at higher risk for poor health outcomes, adverse events and mortality than would be expected based on their age alone. Frail elderly Canadians are over-represented in all sectors of the healthcare system including primary care, community and residential care, acute care and end-of-life care, and frailty is associated with increased healthcare resource consumption. In 10 years, based on population growth it is estimated that well over two million Canadians will be living with frailty and this growing population is both under-recognized and under-serviced, challenging the healthcare system to improve the quality and quantity of care delivered.",-0.0095238095238095,canadian frailti network canada network centr excel focus frailti common recogn health state associ function declin chronic ill multipl health problem cognit impair poorer health outcom late life recogn grow preval frailti dearth research evid address complex care need frail elder canadian award technolog evalu elder network fund mandat improv care frail elder canadian famili canadian healthcar develop rigor evalu ethic guid implement evid inform care strategi practic burden frailti canada steadili grow today approxim senior past million canadian medic frail individu higher risk poor health outcom advers event mortal expect base frail elder canadian repres sector healthcar includ primari care communiti residenti care acut care life care frailti associ increas healthcar resourc consumpt year base popul growth estim million canadian live frailti grow popul recogn servic challeng healthcar improv qualiti quantiti care deliv,1,"health, house, money, volunteer, abuse"
9,Derivation of a clinical decision rule for emergency department head CT scanning in seniors who have fallen. ( 2018/19-2020/21 ),Marcel Emond,Centre hospitalier de l'Université Laval,https://cognit.ca/en/research/project/180848,"There is very little research on diagnosing serious head injury (brain bleeds) in the elderly. One in three seniors experiences a fall each year and half of these people are treated in the emergency department. Almost all serious head injuries in older adults are caused by falling, and one case in six is fatal. Although falls are common for seniors, only 5% of those who are seen in the emergency department have a brain bleed. Over half of the seniors who go to the emergency department after a fall have a head CT scan. Currently, very few head scans done in the emergency department are positive for a brain bleed and the diagnosis is initially missed in 1 in 5 patients with a brain bleed. Ordering a head scan can prolong the emergency department stay by several hours. The emergency department can be an unpleasant and uncomfortable environment. We will create a new test (a clinical decision rule) which tells emergency doctors whether a head scan is needed or not. We will ensure that this new rule is safe. The rule will identify everyone who has a brain bleed, but will also lead to fewer head scans overall. This will allow patients with brain bleeds to receive the care they need and avoid unnecessarily long waits in the emergency department for those who do not have a brain bleed. Our study will follow 4000 people over the age of 65, who are treated in emergency departments across Canada after a fall. The emergency doctor will collect information about the risks of having a brain bleed and will follow a protocol for ordering a head scan. We will follow each patient for 6 weeks, to determine whether they are diagnosed with bleeding in the brain or not. We will use this information to develop a simple and safe test designed to guide emergency head scanning and improve the quality of care offered to seniors.",-0.0636706349206349,littl research diagnos head injuri brain bleed elder senior experi fall year half peopl treat emerg depart head injuri older adult caus fall case fatal fall common senior see emerg depart brain bleed half senior emerg depart fall head scan current head scan emerg depart posit brain bleed diagnosi initi miss patient brain bleed order head scan prolong emerg depart stay hour emerg depart unpleas uncomfort environ creat test clinic decis rule tell emerg doctor head scan need ensur rule safe rule identifi brain bleed lead fewer head scan overal allow patient brain bleed receiv care need avoid unnecessarili long wait emerg depart brain bleed studi follow peopl treat emerg depart canada fall emerg doctor collect inform risk have brain bleed follow protocol order head scan follow patient week determin diagnos bleed brain inform develop simpl safe test design guid emerg head scan improv qualiti care offer senior,1,"health, house, money, volunteer, abuse"
