,links,dates,header,body,b_points
0,https://helpagecanada.ca/2021/11/f-a-s-t-track/,"Nov 25, 2021",F.A.S.T Track - innovative transportation solutions for Canadian seniors - HelpAge Canada,"OTTAWA, Nov. 25, 2021 —HelpAge Canada launches the first initiative in Canada to accelerate the development of innovative transportation solutions for seniors. F.A.S.T. Track, a Funding Accelerator for Seniors Transportation, arises out of a desperate need to create forward-thinking transportation solutions for older Canadians. Many seniors in Canada don’t have access to public transit and, of those who do have access, fewer than 6% are able to use it. Through a cross-country call to communities large and small,F.A.S.T. Trackseeks to identify the service gaps that limit how older people get around, as well as identify innovative solutions to fill those gaps. “Lack of appropriate transportation options is a critical concern for Canada’s fastest-growing demographic”, says Gregor Sneddon, Executive Director of HelpAge Canada. “Older people who can’t get around easily suffer isolation and loneliness—primary barriers to physical and mental health, as well as quality of life.F.A.S.T. Trackwill accelerate the launch of innovative transportation solutions for seniors across Canada.” F.A.S.T. Track will be delivered by leading national non-profit organizations in collaboration with thought-leaders and experts in the fields of aging and transportation, including CanAge: Canada’s National Seniors Advocacy Organization. “Transportation is the key to a vibrant, healthy and connected life. Without adequate transportation seniors can’t get to clubs, activities, doctors or families. There is just no point in creating services that people can’t get to” says Ms. Tamblyn Watts. “This innovative project tackles this problem head-on.” F.A.S.T. Tracktransportation expert Aislin O’Hara warns “Canada can no longer approach the lack of seniors’ transportation through patchwork or ad-hoc projects. This leaves many communities a transportation desert for older Canadians in a super-aging country.” Who can participate inF.A.S.T. Track? Transportation providers of all types, sizes and systems, and those who provide various supports to seniors transportation in Canada, are invited to build their community profile atfasttrackcanada.org. Respondents will answer questions about the current services that are available in their community, and will be asked to identify what gaps and barriers exist. Those interested in testing or scaling an innovative transportation solution in their community, are encouraged to apply for a national innovation award. Winners will be announced during the first-ever National Conference on Seniors Transportation; a dynamic online knowledge exchange event in April, 2022. Winning submissions will receive national recognition, a cash prize of $5,000, a consultation package to refine their solution, and the potential to connect with funders who can make these innovations a reality for seniors. “We know there is already great work being done at the local levels. The goal ofF.A.S.T. Trackis to give the sector something it has never seen before: a national snapshot of the gaps in seniors transportation and a menu of identified innovative solutions that can be replicated and scaled,” says Sneddon. “We can’t do it alone. Communities know their needs best—we need all parties at the table.” Submissions are currently being accepted online atfasttrackcanada.org. The deadline for applications is January 21, 2022.",
1,https://helpagecanada.ca/2021/09/connecting-elders-through-youth-mentorship-in-the-kivalliq-region/,"Sep 17, 2021",Connecting Elders through Youth Mentorship in the Kivalliq Region - HelpAge Canada,,
2,https://helpagecanada.ca/2021/06/bearing-the-brunt/,"Jun 15, 2021",Bearing The Brunt,"On March 13th, HelpAge Canada pivoted our programming to become Canada’s first national responder to the COVID-19 pandemic for seniors. We launched a campaign raising over $500,000 for humanitarian relief for seniors across Canada. We disbursed funds through over 78 partners across Canada providing food, medicine, social support to seniors as well as PPE and safety products for staff and volunteers including 3,482 grocery hampers, and 13,181 hot meals. We also responded by providing 100 iPads to seniors in 20 communities across Canada with a digital literacy program called Seniors Can Connect! We provided 3-month hygiene kits to 1000 seniors in the conflict zone in Eastern Ukraine and provided an additional $21,000 in emergency relief to 18 partners in India, Sri-Lanka, Kenya, Jamaica, Haiti, Dominica and Lebanon. We provided 58 seniors with mobility and accessibility grants, as well as programming grants to 1,488 seniors to address isolation and loneliness through our Seniors Can! program and we are launching an intergenerational digital literacy program in south-western Nunavut providing tablets and digital literacy to 200 elders with 40 youth. ",
3,https://helpagecanada.ca/2021/05/helpage-canada-awards%e2%80%af200000-in-seniors-can-grants/,"May 31, 2021","HelpAge Canada awards $200,000 in Seniors Can! grants - HelpAge Canada","What older people say about their rights during the COVID-19 pandemic. Report published byHelpAge International. HelpAge International is a global network of organisations promoting the right of all older people to lead dignified, healthy and secure lives.",
4,https://helpagecanada.ca/2021/03/8184/,"Mar 11, 2021",Gregor Sneddon reflects on COVID-19 and how HelpAge Canada has adapted over the past year. - HelpAge Canada, ,
5,https://helpagecanada.ca/2021/02/helpage-international-releases-their-unequal-treatment-report/,"Feb 22, 2021",HelpAge International releases report of 'Unequal treatment' during COVID-19 - HelpAge Canada,"“The importance of Grandparents has been something I have been aware of as long as I have been alive; I was raised by my Grandparents. My Grandfather, in particular, was a hugely influential presence in my life and his stories, advice, and spirit are with me to this day. He was Icelandic-Canadian and very proud of it. When I was able to go to Iceland, I felt him with me every step of the way. He instilled in me a sense of pride for my heritage and was a keeper of current family stories as well as ancient ones. His teachings of my roots provided me with self-confidence and a sense of belonging in my formative years – this has translated into adulthood. My life is richer for having been raised by my Grandparents. It is so important to be an advocate to ensure older people are able to live healthy, dignified, and safe lives.” ~ Melody, Client Deliverables SolutionsJacobs – Vancouver, BC “My Grandad was and will remain a huge influence on the person I am today and strive to be in the future. Despite hardships and war that he faced in his life, he will always be remembered as a happy, high spirited and endlessly caring person. His diverse life experience gave him broad wisdom about so many things. This was evident in his never-ending supply of stories and anecdotes that, aside from being hilarious, always carried with them a lesson or piece of invaluable advice. My life has been shaped in no small part by these stories and lessons and they live on in my family.” ~ Matthew, Buildings, Infrastructure and Advanced FacilitiesJacobs – Ottawa, ON",
6,https://helpagecanada.ca/2020/12/helpage-international-welcomes-the-launch-of-the-un-decade-of-healthy-aging/,"Dec 18, 2020",HelpAge International welcomes the launch of the UN Decade of Healthy Ageing - HelpAge Canada,"Read Hayat’s first hand experience… Hayat Taleb is a sixty-year-old Lebanese woman who lives in Karantina with little access to health care and poor living conditions. She recalls what happened to her when the explosion happened in the port of Beirut. “All I can remember about six o’clock in the evening on August 4this that I was cleaning on the balcony. I started to hear crackers but continued my work. Then the voices started getting louder. I can’t remember what happened next. I opened my eyes and found myself lying on the floor of my damaged house. My eyes and head were bleeding, but my only thought was to check on my children. I found them injured as well and together we rushed to the nearest hospital to seek medical help. “I don’t know what happened, even the hospital was destroyed. After a long night, our wounds were bandaged, but we could not return home, and were overwhelmed by fear. Now, more than a week after the disaster, all I want is to feel safe. I only want to find safety and peace in Lebanon. “Life is difficult in Lebanon, even for younger people who are full of vitality and energy, so how about it for older people like us? It is impossible for us to find a job at this age, and in return there is a huge gap in services available for old age.” You can make a difference in Hayat’s life:DONATE TODAY  Collected byAmel Associationin Beirut.  ",
7,https://helpagecanada.ca/2020/09/ukraine-campaign/,"Sep 23, 2020","We reached our campaign goal and delivered 1,000 hygiene kits in Eastern Ukraine! - HelpAge Canada","OTTAWA, Nov. 25, 2021 —HelpAge Canada launches the first initiative in Canada to accelerate the development of innovative transportation solutions for seniors. F.A.S.T. Track, a Funding Accelerator for Seniors Transportation, arises out of a desperate need to create forward-thinking transportation solutions for older Canadians. Many seniors in Canada don’t have access to public transit and, of those who do have access, fewer than 6% are able to use it. Through a cross-country call to communities large and small,F.A.S.T. Trackseeks to identify the service gaps that limit how older people get around, as well as identify innovative solutions to fill those gaps. “Lack of appropriate transportation options is a critical concern for Canada’s fastest-growing demographic”, says Gregor Sneddon, Executive Director of HelpAge Canada. “Older people who can’t get around easily suffer isolation and loneliness—primary barriers to physical and mental health, as well as quality of life.F.A.S.T. Trackwill accelerate the launch of innovative transportation solutions for seniors across Canada.” F.A.S.T. Track will be delivered by leading national non-profit organizations in collaboration with thought-leaders and experts in the fields of aging and transportation, including CanAge: Canada’s National Seniors Advocacy Organization. “Transportation is the key to a vibrant, healthy and connected life. Without adequate transportation seniors can’t get to clubs, activities, doctors or families. There is just no point in creating services that people can’t get to” says Ms. Tamblyn Watts. “This innovative project tackles this problem head-on.” F.A.S.T. Tracktransportation expert Aislin O’Hara warns “Canada can no longer approach the lack of seniors’ transportation through patchwork or ad-hoc projects. This leaves many communities a transportation desert for older Canadians in a super-aging country.” Who can participate inF.A.S.T. Track? Transportation providers of all types, sizes and systems, and those who provide various supports to seniors transportation in Canada, are invited to build their community profile atfasttrackcanada.org. Respondents will answer questions about the current services that are available in their community, and will be asked to identify what gaps and barriers exist. Those interested in testing or scaling an innovative transportation solution in their community, are encouraged to apply for a national innovation award. Winners will be announced during the first-ever National Conference on Seniors Transportation; a dynamic online knowledge exchange event in April, 2022. Winning submissions will receive national recognition, a cash prize of $5,000, a consultation package to refine their solution, and the potential to connect with funders who can make these innovations a reality for seniors. “We know there is already great work being done at the local levels. The goal ofF.A.S.T. Trackis to give the sector something it has never seen before: a national snapshot of the gaps in seniors transportation and a menu of identified innovative solutions that can be replicated and scaled,” says Sneddon. “We can’t do it alone. Communities know their needs best—we need all parties at the table.” Submissions are currently being accepted online atfasttrackcanada.org. The deadline for applications is January 21, 2022.",
8,https://helpagecanada.ca/2020/09/ride-to-connect/,"Sep 18, 2020","A successful Ride to Connect campaign has led to over $53,000 dollars being raised for the Seniors Can Connect! program. - HelpAge Canada",,
9,https://helpagecanada.ca/2020/09/jacobs-grandparents-day/,"Sep 13, 2020",Jacobs helps us mark National Grandparents Day! - HelpAge Canada,,
