,links,dates,header,body
0,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/02/17/collaboration-is-key-patient-engagement-for-healthcare-improvement,16 February 2022,Collaboration is key: Patient engagement for healthcare improvement,"[""Have you ever heard the sayings “Teamwork makes the dream work” and “'We are stronger together than we are alone'”?\xa0 Well, they just so happen to be true! From playing team sports to class projects to moving heavy furniture,\n    we all experience moments in our lives that require us to work hand in hand to complete a task or achieve a common goal. What’s more, these days, our input is highly sought after. Think back to when you were last emailed a customer satisfaction\n    survey following a visit to a store or asked to rate an app on your tablet or smartphone. Our feedback is valuable because it allows the companies and organizations providing us with products and/or services to better understand their userbase and\n    optimize their offerings. Luckily, the benefits of collective action and providing opportunities for users to share their thoughts, opinions, and experiences are wide-reaching—even extending to the health space. For instance, collaboration or dialogue between patients, caregivers,\n    and health care providers through hospital-discharge planning, personalized care planning, and advanced care planning can reduce hospital readmissions, improve aspects of physical and mental health, and increase the chances of the patient’s\n    wishes being followed, respectively (1-3). The question then becomes, can engaging patients in decision making that goes beyond interventions related to their individual care and involves the design, management, delivery, and/or evaluation of public\n    services also yield positive outcomes? This type of activity is known as co-production and can be voluntary or involuntary (4;5). Arapid reviewevaluating the co-production of hospital tools and resources with patients adds more to this conversation\n    (4). Within the review, co-produced services and tools included ‘teachback’ (a technique that aims to increase patients’ understanding of instructions provided by a health care provider), patient incident reporting tools, patient-oriented\n    discharge summaries, lists of questions to encourage discussion between patients, caregivers, and care providers, and an information and communication technology platform for patient-reported symptoms. The intensity at which patients were engaged\n    in the co-production process varied. For example, some patients were ‘consulted’ through interviews or surveys, others were ‘involved’ through workshops and focus groups, and a few were ‘partners’ participating\n    in meetings, experience-based collaboratives, and working groups. To summarize, the review found that co-production may help to improve organizational/health care provider outcomes and patient level outcomes. In terms of organizational/health care provider outcomes, co-produced services and tools may rate high to moderate\n    when it comes to user satisfaction, usability, uptake, and retention. In terms of patient outcomes, co-produced services and tools have the potential to reduce wait times, as well as enhance the timely delivery of home medication and patients’\n    understanding of their medication. They may also improve knowledge, confidence, and skills in patients involved in the co-production process. Despite some of these promising results, it’s important to note that more research on the effects of co-production on patients and health care providers is needed to make definitive conclusions on the use of this strategy. A greater understanding\n    of the impact on patients’ health outcomes would be especially useful (4). In the meantime, those interested in voicing their opinions and sharing their experiences to help inform health care-related tools and resources can seek out available\n    opportunities to do so. Patient advocacy groups, your health care team, and trusted hospital websites are a few sources that may help link you to these opportunities and are a good starting point for your search.""]"
1,https://www.mcmasteroptimalaging.org/blog/detail/videos/2022/02/16/dandruff-or-seborrheic-dermatitis-an-itch-by-any-other-name,16 February 2022,Dandruff or seborrheic dermatitis? An itch by any other name,"['Seborrheic dermatitis is a common rash characterized by redness, scaling or flaking, or itching. It mainly affects the skin on the scalp (as dandruff), face, chest and joints. When adults get seborrheic dermatitis, the condition can come and go for the\n    rest of their life. Flare-ups are common with weather changes, and other factors such as stress can also be a trigger. Proper treatment can reduce flare-ups and bring relief. In this video, Dr. Hermenio Lima talks about the different causes and treatment\n    options for seborrheic dermatitis. Learn the answers to the following questions: Want to test your knowledge? After watching this video take this quick4-question quiz. Give us your feedback with this2-question survey. Browse allvideo posts.']"
2,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/02/09/the-other-side-of-the-screen,9 February 2022,The other side of the screen,"['The COVID-19 pandemic and the pandemic responses have turned our lives upside down. The closure of office spaces and schools, restrictions on visiting loved ones, healthcare facilities and nursing homes have greatly limited our ability to maintain ""face-to-face"" connections. Our lives have quickly pivoted to virtual communication platforms to stay connected and go about our business. Overnight, happy hours with friends, birthdays, work meetings, homeschooling, medical follow-ups... everything was going to happen on the screen. More and more people have been complaining of ""Zoom fatigue,"" a term referring to the popular videoconferencing platform. This expression reflects the anxiety and exhaustion linked to the overuse of virtual communication platforms such as Zoom, Skype, FaceTime, Google Meet or Microsoft Teams. Since the beginning of the pandemic, older adults, caregivers and families have been told over and over again to use technology to stay in touch, and to prevent and control the spread of the virus. We know that technology can cause stress in older adults, as evidenced by studies conducted in 2016 and 2020 in people aged 60 and older. This ""techno-stress"" results from the ubiquity of information and communication technologies in modern society and their impacts: information overload, invasion of privacy, blurring between public and personal life, and pressure to develop digital skills.(1) Although no robust systematic review could be identified about zoom fatigue among older adults and the general population, experts (including psychologists, computer scientists and neuroscientists) have raised a red flag. The overuse of virtual communication platforms could lead to cognitive distortions and non-verbal  overload inherent in video communication. This could even increase feelings of isolation and anxiety.(2) A researcher from Stanford University in the United States recently published an article on the phenomenon of Zoom fatigue, which may be attributable to four main factors.(3) 1- Excessive eye contact During a videoconference, seeing others in close-up and being stared at by several pairs of eyes is unnatural and creates performance anxiety. 2- Cognitive overload In front of the camera, we are constantly on the lookout for our gestures to make sure we are sending the right signal to others. For example, we force ourselves to nod for long seconds or give a thumbs up to show our agreement, etc. Non-verbal language is thus controlled, which scrambles the signals sent and generates intense brain activity to decode them. 3- Loss of mobility In a face-to-face meeting, non-verbal communication is done unconsciously and freely. During a phone call, people can walk, stretch, yawn, scribble. Not in front of a screen where we are forced to stay still and centred in front of the camera. All this greatly reduces our mobility and well-being. 4- The mirror effect Seeing yourself on the screen, under an unflattering light and for many hours can have a perverse effect and generate stress or negative feelings. Nobody (or almost nobody) likes to look in the mirror all day long! The concerns related to virtual communication platforms remind us that it can be important to better dose their use. It\'s not always justified choosing the videoconference for every call we make. That said, if you do, there are some small things you can do to reduce the cognitive overload and stress you may feel: - Hide the camera so you don\'t see your reflection all the time; - Reduce the size of the windows of the people you are talking with so that you don\'t see them in large shots; - Take breaks to look around or stretch; or - Choose a different location or different tools to hold your meetings, such as a better chair or a portable keyboard. If you feel depressed, irritated, tired after your videoconference meetings, don\'t hesitate to suggest to your friends, family and colleagues to use the good old phone once in a while!']"
3,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/02/03/upping-fruit-and-veggie-consumption-to-get-blood-pressure-down-what-s-the-case-for-plant-based-diets,2 February 2022,Upping fruit and veggie consumption to get blood pressure down: Whatâs the case for plant-based diets?,"[""Blood pressure is a term we may hear often but that many of us may not understand fully. So, what exactly is blood pressure, and why is it important to keep it in check? First, blood pressure is the pressure blood exerts on the walls of blood vessels/arteries\n    as it’s pumped through the body by the heart (1;2). When this pressure is consistently too high, we have high blood pressure or hypertension, and our heart has to work harder to pump blood (2). Globally, more than 1 in 4 men and 1 in 5 women\n    have high blood pressure (1). High blood pressure is dangerous because it puts us at a greater risk for developing and dying from diseases of the heart, kidney, and brain, to name a few (2). Our diet, so what we eat and drink regularly, can affect our blood pressure (2;3-10). Consuming an unhealthy diet, such as one that’s low in fruits and vegetables and high in salt, increases our chance of developing high blood pressure (2). On the\n    other hand, healthier diets are associated with a lower risk of developing high blood pressure. Vegetarian and vegan diets, in particular, have been placed under the microscope and studied for their impacts on blood pressure (3;9-10). However, plant-based\n    diets go beyond these two diets. They include a wide variety of dietary patterns, some of which allow for an often-limited amount of meat and other animal products (3). Let’s dive deeper into the world of plant-based diets by familiarizing ourselves with some common types in the table below. This is a lot of information to take in, and with so many options available, it can be hard to know what diet to follow to reduce our blood pressure. Arecentsystematic reviewaimed to help by investigating these diets further and laying out the evidence (3). Of the seven plant-based diets studied within the review, only three show the potential to positively impact both systolic and diastolic blood pressure. These are the DASH, lacto-ovo vegetarian, and healthy Nordic diets. The Mediterranean diet may also\n    have blood pressure lowering effects, but only for systolic blood pressure. Overall, the diets that were effective in reducing one or more aspects of blood pressure often encouraged the consumption of fruits, vegetables, whole grains, legumes, nuts,\n    seeds, and a limited amount of animal products. The remaining three diets—the high fruit and vegetable, high fiber, and vegan diets—do not appear to lower any aspect of blood pressure. It's worth mentioning that the vegan diet was the\n    only plant-based dietary pattern studied that completely eliminates the consumption of animal products. These results are important because they imply that diets that are much less restrictive show promise for success. With that said, the certainty of the evidence that these results are based on ranges from very low-to-high and differs depending on what diet and aspect of blood pressure you're looking at. The DASH diet is the only diet whose findings are based on high\n    certainty evidence across the board; this means that future research likely won’t change the finding that it reduces both systolic and diastolic blood pressure. The same can be said for the lacto-ovo vegetarian diet’s impact on systolic\n    blood pressure, specifically. As for the other findings, we are less confident that the results wont change as more research comes out (3). There you have it, plant-based diets may hold blood pressure benefits, but not all diets that fall under this category are equal. If you're interested in making a lifestyle change through your diet, speak with your health care team about what dietary\n    pattern is the best fit for you and how to safely make this change.""]"
4,https://www.mcmasteroptimalaging.org/blog/detail/videos/2022/02/02/vitamin-d-should-i-be-taking-a-supplement,2 February 2022,Vitamin D: Should I be taking a supplement?,"['Vitamin D plays an important role in many functions of your body.\xa0 Getting a healthy, daily dose of vitamin D can be challenging and a common problem for many Canadians. In this video,Dr. Alexandra Papaioannoudiscusses the sources\n    and health benefits of vitamin D, who should take supplements and how much. Learn the answers to the following questions: Want to test your knowledge? After watching this video take this quick4-question quiz. Give us your feedback with this2-question survey. Browse allvideo posts.']"
5,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/01/26/love-in-the-digital-age,26 January 2022,Love in the digital age,"['The way we look for our soul mate has evolved in the last few years at the same pace as technology. Several platforms to find love have been created. The same is true for other stages of a couple\'s lifecycle: whether it is to use technology to maintain a relationship or to regain autonomy after the dissolution of a couple. The COVID-19 pandemic has increased our online activities and forced people of all ages to use the Internet to connect with others. Today, we can express our interest in someone with a simple swipe of a finger on a screen or by sending an emoji. We show digital affection  to celebrate our love. It goes without saying that technology is having a profound and very real impact on our love live. A recent systematic review of 72 studies examined the use of technology throughout the lifecycle of a romantic relationship.(1) While these studies did not specifically target older adults, they found that ""cyber-intimacy"" has a real and profound impact regardless of age. The review reveals that technologies can influence three stages in the lifecycle of a romantic relationship: 1) how people find and meet partners online; 2) the ways in which partners use technologies to maintain their relationship; and 3) how people cope with the process of dissolving their romantic relationship and using technologies to regain a sense of autonomy. Studies indicate that the ability to connect with someone we like is made easier online. People seem to be more uninhibited when they are behind their screen and allow themselves to engage in virtual behaviours that they wouldn\'t dare in ""real"" life. However, being confronted with many potential partners can lead to poor choices, by not being as selective and being distracted by the array of profiles presented to us. Are you officially in a relationship? You must now comply with the rules that govern love in the digital age. Beware of the lover who doesn\'t change their marital status on Facebook to reflect their commitment. Studies show that public displays of affection on social networks increase couple satisfaction. Using technology can be helpful in maintaining or strengthening the bond with your partner, whether it\'s texting and taking pictures (or even consuming sexual content as a couple). But beware! Different digital habits can lower relationship satisfaction. In addition, jealousy can quickly arise, especially if one partner spends too much time online and initiates interactions with other people. During a relationship, a couple accumulates digital ""assets"" - photos, videos, texts - just like furniture or a car. When the relationship ends, lovers must do a digital housecleaning, such as removing the other from their contacts, removing shared photos, changing their online status, etc. Moving on can be complicated, especially if the estranged partner spies on their ex on social media or engages in cyber-stalking. That said, technology can help with the dissolution of a romantic relationship by helping former partners regain a sense of autonomy. Security and privacy are important concerns when it comes to technology. A few caveats are in order: - If you are looking for your soul mate, check out dating sites that verify the identity of users. Most sites are open to people of all ages, but some specialize in people over 50, or bring together people with common interests, such as culture and the outdoors. - Be careful with the personal information you share online (including images or videos that could identify and locate you). - On social media, question yourself before making information public. Keep in mind that this information, as well as suggestive photographs and sexting, is always accessible on digital devices and could be distributed to others without your consent. - Don\'t hesitate to report anyone who threatens, harasses or sends you unsolicited sexually explicit messages or images. Confide in a loved one, a support worker or call the police if your safety is threatened.']"
6,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/01/20/turning-on-the-tunes-3-evidence-based-benefits-of-music,19 January 2022,Turning on the tunes: 3 evidence-based benefits of music,"['What do radio, vinyl records, cassettes, CDs, YouTube, and Spotify have in common? They are all ways that people can listen to music, the universal language that breaks down barriers—like space and time—and builds invisible bridges that connect\n    us. Renowned American TV and radio personality Dick Clark once said that “Music is the soundtrack of your life.” If you take a second to think about it, Mr. Clark was spot-on. Music acts as a timestamp. With the press of a button, it can\n    transport us to different times in our lives, such as our first high school dance, favourite concert, or wedding day. With these memories come the thoughts and emotions we felt in those moments. Given the power it holds, it is not surprising that\n    music has entered the health arena and has been the focus of many studies (1-10). So, what does the research have to say about the benefits of music for our mental and physical health? Here are just a few of the evidence-based findings on the important role that music can play. Click on the links below to learn more. 1.Music for hospital stays Surgery and a hospital stay are no walk in the park; for many of us, they are stressful and scary. Music therapy, a safe and non-invasive complementary strategy to medical treatments, can yield positive results for cancer patients who are in hospital\n    to undergo a surgery/procedure/treatment (2;4). More specifically, patients who listen to music before and/or after a surgery/procedure/treatment may experience moderate reductions in anxiety, pain, and depression. Slightly less fatigue may be another\n    plus (4). There is evidence to suggest that greater benefits can be attained when patients choose their own music (3;4). 2.Music for walking As we age, we may notice changes to our walking ability, such as our steps becoming shorter and pace slowing down. Changes like these can reduce mobility and increase the risk of falls (10;11). But do not be disheartened! There are ways to ""side-step""\n    these issues, or at the very least, lessen them. Listening to a steady beat (e.g., like that provided by a metronome) or music while walking can help to enhance walking speed, the length of our stride, and the rhythm and symmetry of our walk (7;8). When\n    choosing what to listen to, aim for music with a unique and stable rhythm; and that you find enjoyable. Remember not to “lose yourself to the music,” meaning keep the volume at an acceptable level that does not hinder your ability to be\n    aware of your surroundings, namely traffic, people, and other important noises. 3.Music for sleep quality Not getting good quality sleep can negatively impact our mental, cognitive, and physical health (10;12-15). Although medications for sleep-related issues do exist, they are associated with unwanted side effects, such as an increased risk for illness,\n    dependence, and death (10;16-18). Alternatively, music-based interventions—which generally involve listening to music and in some cases also making it—are non-drug strategies that appear to have the potential to improve sleep quality.\n    Although generally deemed a safe strategy, take stock of any possible hazards and put in place actions to remedy them (10). For instance, using headphones while sleeping may not be ideal, so speakers may be the way to go. Maintaining volume control\n    is also important. There you have it! There is research that supports the use of music in specific scenarios, such as hospital stays, walking, and sleep-related matters. More research is needed to better understand the effects of music-based strategies, but because they\n    have been found to be generally safe, non-invasive, and cost-effective, they may be worth a try. But first, consult with your health care team for a comprehensive discussion of the potential pros and safety considerations.']"
7,https://www.mcmasteroptimalaging.org/blog/detail/videos/2022/01/19/insomnia-are-sleeping-pills-the-answer,19 January 2022,Insomnia: Are sleeping pills the answer?,"[""Sleep is a fundamental part of promoting our overall health. As we age, it is common for us to experience changes in our sleep. It may become harder to fall asleep, or you may wake up more often during the night and earlier in the morning. But what can\n    you do when a good night's sleep is hard to get? In this video, Dr. Tricia Woo talks about sleep in older adults, lifestyle changes to promote good quality sleep, and the use of sleeping pills for insomnia. Learn the answers to the following questions: Want to test your knowledge? After watching this video take this quick4-question quiz. Give us your feedback with this2-question survey. Browse allvideo posts.""]"
8,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/01/12/misinformation-disinformation-and-infodemics,12 January 2022,"Misinformation, disinformation and infodemics","['During the COVID-19 pandemic, people began to use the term ‘infodemic’ to capture the parallel between the rapid spread of the virus and the rapid spread of misinformation about both COVID-19 and measures to respond to the pandemic. The terms misinformation and disinformation are often used interchangeably, but they have different meanings.Misinformationis false information that is spread, regardless of intent to mislead. On the other hand,disinformationis the intentional spreading of misinformation. For instance, we often see political opponents, companies, or foreign governments engaging in disinformation campaigns to achieve a specific goal or undermine trust in their opponents. It is often difficult to determine the underlying intent and thus, the term misinformation may be used more frequently.While misinformation has been with us for centuries, the internet has transformed its scale, drivers and consequences, as well as possible responses to it. In 2022, theGlobal Commission on Evidence to Address Societal Challengesexamined possible response types to misinformation.(1) The Evidence Commission identified 10 possible responses: 1. Monitoring and fact-checkingThis type of response includes monitoring and exposing misinformation (for example, debunked claims) and fact-checking new claims with we increasingly see in news media. 2. Credibility labelingThis type of response includes tools to verify information content, web-content indicators, pointing to credible evidence sources, and adding credibility labels to information sources. 3. EducationalThis type of response includes increasing media and information literacy among the public (for example, critical-thinking skills and skills to verify the credibility of resources on the internet), as well as journalists’ information literacy. 4. CuratorialThis response type includes pointing the public to official credible  sources of evidence-based information, and can be used by news media, social media, messaging and search platforms. 5. Technical and algorithmicThis type of response is increasingly discussed in relation to the work of Big Tech companies (for example, Google, Facebook and others). It covers a spectrum from human learning to machine learning and other artificial-intelligence approaches to identify misinformation, provide additional context, and limit spread the spread of misinformation. 6. Counter-misinformation campaignsThis type of response includes specialized units to develop counter-narratives to challenge misinformation and mobilizing online communities to spread high-quality evidence. 7. NormativeThis type of response includes public condemnations of acts of misinformation (from public figures, such as policymakers, professionals, and community leaders) and recommendations to address them. 8. EconomicThis type of response is also discuss in relation to the work of Big Tech companies. It includes advertising bans (for example, ads promoting miracle remedies against COVID-19), and other approaches to remove incentives for misinformation. 9. Legislative and other policyThis type of response includes criminalizing acts of misinformation, directing internet communication companies to take down content, and providing material support for credible information sources 10. InvestigativeThis type of response includes strategies to investigate who starts the misinformation, the degree and means of spread, the money involved, and the affected communities. This response can help to inform legislative and other responses. Our times may seem a bit confusing with the multiplication of information sources, health and social crises, as well as strong political polarization. We are constantly bombarded with information and it becomes difficult to distinguish credible information from misleading or false information. However, as the Evidence Commission points out, it is possible to act locally and globally to counter misinformation.']"
9,https://www.mcmasteroptimalaging.org/blog/detail/blog/2022/01/06/can-satisfying-your-sweet-tooth-with-sugar-substitutes-help-with-weight-loss,5 January 2022,Can satisfying your sweet tooth with sugar substitutes help with weight loss?,"['Chronic diseases, including respiratory diseases, diabetes, and cancer, are responsible for the deaths of 41 million people across the globe each year. Modifiable behaviours and metabolic risk factors increase the risk of developing a chronic illness\n    (1). For example, modifiable behaviours, such as an unhealthy diet, can lead to metabolic issues, like overweight or obesity, which in turn can elevate the risk of heart disease and multiple other health conditions (1;2). Too much sugar—specifically,\n    sugars added to food and drinks during manufacturing or at the table prior to consumption—is often suggested as a contributing factor to overweight, obesity, and the development of chronic illness. This may make us pause before adding sugar\n    to our hot beverage in the morning or while whipping up some sweet treats. Over the years, there has been a push to identity strategies that can help fight the obesity “epidemic”. The use of non-nutritive sugar substitutes as an alternative way of sweetening foods and drinks is one method that has caught the attention\n    of researchers. These sugar substitutes offer no nutritional value and have little-to-no calories. They go by a variety of names, including non-nutritive sweeteners, non-caloric or very low-calorie sweeteners, or artificial sweeteners (2). These substitutes\n    are found in some food and beverage options, such as “diet” or “sugar free” carbonated drinks, nut spreads, and breakfast cereals. Certain types are also available as table-top sweeteners (3). Interestingly, past studies have\n    made the case for and against the use of sugar substitutes, with some finding that they may increase weight by encouraging folks to eat more, and others demonstrating that they assist with weight loss (2;4-7). Arecentsystematic reviewaimed to provide\n    more clarity on the topic by taking a comprehensive look at the evidence, including newly published studies (2). The review compared changes in weight/body mass index in folks consuming non-nutritive sweeteners, such asaspartame,stevia,sucralose,saccharin, andrebaudioside A(Reb A), to those consuming table sugar, water, and placebo, or given nothing. Overall,\n    the review found that the use of non-nutritive sweeteners may help reduce weight/body mass index by a small to moderate amount. But a closer look at the data shows that these benefits may only be obtained by certain individuals or under certain conditions.\n    For instance, it appears that children or adolescents, folks considered to be at a normal weight, and those following a weight reduction diet may not see results. On the other hand, adults, folks living with overweight or obesity, and those who are\n    following an unrestricted diet may reap the weight-related rewards. What’s more, it appears that non-nutritive sweeteners have the potential to be effective when they are a substitute for table sugar, specifically. With all this said, we do\n    have to consider that the findings presented here are based on low to moderate quality evidence, with outcomes only measured in the short term. This means more high-quality studies with longer follow-up periods are needed to really understand what\n    impact non-nutritive sweeteners have on weight in the short term and long term. Only a few studies included in the review reported on side effects. Generally, both the group consuming non-nutritive sweeteners and the group not consuming them experienced similar minor side effects. These included: behavioural issues, bowel changes,\n    allergies, and abdominal discomfort. Some studies conducted deeper investigations and found that all or some of the side effects seen were not related to the non-nutritive sweeteners used (2). Outside of this review, it is important to note that various\n    non-nutritive and nutritive sweeteners have been approved for use at specific levels/amounts by Health Canada, meaning their safety has been assessed and that their use is strictly regulated (3). For a full list of permitted sweeteners and more information,\n    refer to the Government of Canada’swebsite. If you are interested in using non-nutritive\n    sweeteners, whether as a table-top sweetener or by focusing on foods that contain them, speak with your health care team first to assess if they are safe for you based on any existing conditions you may have and for guidance on use.']"
