,links,dates,header,body
0,https://www.vancouverislandfreedaily.com/news/volunteers-who-supported-seniors-a-lasting-legacy-of-pandemic-b-c-seniors-advocate/,"Feb 16, 2022",Volunteers who supported seniors a lasting legacy of pandemic: B.C. seniors advocate,"The advocate for seniors in British Columbia says a rise in volunteer services supporting the elderly has been one of the “brightest lights” throughout the pandemic.Isobel Mackenzie says nearly 26,000 seniors benefited from the generosity of over 13,000 volunteers as part of a provincially funded program that was expanded in March 2020 to boost services through community organizations.Mackenzie says the number of seniors living independently and getting help with everything from the delivery of groceries to visits and snow shovelling doubled between April 2020 and March 2021 compared with the year before.She says the groundswell of support for those who became isolated will be a lasting legacy of COVID-19, and she expects some of the connections they made with volunteers will continue.A report released by the Office of the Seniors Advocate says nearly 94 per cent of people aged 65 and over live in private dwellings, nearly half of them in detached homes.Mackenzie says the response to a call for help from volunteers was so strong that a help phone line crashed as people stepped up to help their neighbours, while seniors looking for support also overwhelmed call takers.“Some of them (call takers) were a little upset because they had no idea how some seniors are living in very impoverished conditions,” she said on Wednesday.Mackenzie said that while the overall program has been a success, more support is needed for seniors in smaller communities.“The reality is, in remote areas it’s tricky,” she added.The annual report also says about a quarter of the population in the Interior and Vancouver Island health regions is over 65, compared with about 16 per cent in the Fraser and Northern Health regions.“That has a real impact on service delivery because not only do you have more seniors who need services, you have a smaller pool of the population in the labour force to provide those services,” Mackenzie said.The report says 42 per cent of seniors are either healthy or have a low-complexity condition like asthma or high blood pressure. Six per cent have been diagnosed with dementia.It says 11 per cent more seniors over 80 have maintained a driver’s licence, although part of that increase may be because all older motorists are no longer required to take an exam to determine if they are healthy enough to operate a vehicle. Mackenzie said up to 96 per cent of seniors had passed the exam anyway and the change may be more in keeping with a healthier population that is living longer.Inspections of long-term care homes by health authorities were down by 11 per cent over the period covered by the report, but Mackenzie said that was expected during the pandemic.“Normally, B.C. has very high rates of inspection, well over 80 per cent, and we are seeing that is returning.”—The Canadian PressRELATED: Home care for B.C.’s elderly is too expensive and falls short: watchdogCoronavirusSeniors"
1,https://www.vancouverislandfreedaily.com/news/gis-one-time-payment-coming-earlier-for-affected-seniors/,"Feb 14, 2022",GIS one-time payment coming earlier for affected seniors,"Help is on the way for seniors affected by the Guaranteed Income Supplement cutback six months ago.On Monday during Question Period in the House of Commons, North Island-Powell River MP Rachel Blaney asked the federal government to support seniors who need money sooner than the previously announced date of May.“New Democrats have been asking this government since before the last election to fix this problem. Finally the minister announced a one-time payment, but it’s not until May,” Blaney said during Question Period. “Seniors are in desperate need now to stave off hunger and eviction. Again I am asking, will the minister support seniors at risk and immediately release emergency funds?”The question prompted Seniors Minister Kamal Khera to respond, saying “we both share a deep desire to support those most at need seniors. I am very pleased to share that we are now going to be able to deliver payments to those who saw GIS reduced ahead of schedule as early as April 19.“Service Canada will also be working with members of parliament to help constituents in dire need to get support sooner, in March, and we will continue to be there to support seniors with our increases in pension funds,” Khera said.The federal government had announced that they would provide an emergency payment to seniors cut off the GIS during the fiscal update last fall, but the initial announcement was that financial help wouldn’t be available until May. MPs Blaney and the NDP finance critic, Daniel Blaikie, advocated for more urgent help for more than 183,000 seniors affected.“Seniors can finally breathe a sigh of relief after going through a horrible, unnecessary ordeal,” said Rachel Blaney. “For months, I have been hearing the most heartbreaking stories from vulnerable seniors who felt abandoned by this government. The pandemic has just been devastating for our country’s seniors and, instead of getting extra support, they had the GIS help cut from them for accessing the pandemic aid they desperately needed. New Democrats spoke out against this injustice from the beginning and I’m so happy to see that the government is finally taking action to fix their mistake.”RELATED:More questions than answers in new GIS announcement — MPsSeniors to wait five months for GIS one-time paymentmarc.kitteringham@campbellrivermirror.comLike us onFacebookand follow us onTwitter"
2,https://www.vancouverislandfreedaily.com/community/inspired-by-crafts-with-grandma-victoria-student-recruits-classmates-to-make-valentines/,"Feb 14, 2022","Inspired by crafts with grandma, Victoria student recruits classmates to make valentines","This Valentine’s Day marks the fifth tie a local student has spread love to seniors.Liam Pope-Lau, now a middle school student at St. Michaels University School, has enlisted the help of his classmates each year since 2017 to make valentines.READ ALSO:Community photos, stories to help craft vision of future housing in Oak BayHis inspiration was making valentines each year with his late grandmother, who died the same year he started the project. The cards carry thoughtful and positive messages that let seniors know they are cared about and remembered.To date, thousands of valentines have been shared at local long-term care homes, including Parkwood Place, Carlton House, Berwick Royal Oak, Berwick Shelbourne and Oak Bay Lodge, his mom said.READ ALSO:Greater Victoria parents fear B.C.’s new autism funding model will leave their children behindc.vanreeuwyk@blackpress.caDo you have a story tip? Email:c.vanreeuwyk@blackpress.ca.Follow us onTwitterandInstagram,and like us onFacebook."
3,https://www.vancouverislandfreedaily.com/news/lack-of-heat-in-husbands-care-home-has-kelowna-woman-demanding-provincial-action/,"Feb 11, 2022",Lack of heat in husband’s care home has Kelowna woman demanding provincial action,"Lynn Fanelli of Lake Country is angry.Angry that her husband Paul has been living in his room at Spring Valley Care Centre without proper heat for nearly 60 days. Paul became a resident at the centre on Dec. 19 2021 after treatment for cancer at Kelowna General Hospital.“They put in a space heater at that time and looked into the problem with the heating system which I believe was ongoing because the pieces for the units in the room were laying on the floor,” said Fanelli.She contacted the Community Care Facilities Licencing department at Interior Health (IH) which is in part responsible for ensuring regulations are met in licensed child care programs and child/youth and adult long-term care facilities.She and other families later received an email that the heating system was fixed prior to a Zoom meeting between families and Spring Valley management on Jan. 13. Fanelli said she had asked management to remove the space heaters before that meeting.“They didn’t remove the space heaters, because the heating was not fixed,” she said.During the meeting, Fanelli asked what was happening with heating in the building and was told the boiler system was not working but the heat had been restored. But that was not the case according to Fanelli and she asked again for it to be fixed.“They said, at that time, there was no money in the budget for the next year to do any repairs for heating and cooling systems in the building.”Fanelli again went back to IH licencing, and also contacted the Patient Care Quality Office (PCQO) at IH. She then reached out to B.C. Seniors’ Advocate Isobel MacKenzie.“I got a nice email back saying thanks but we’ll add you to the list of problems,” she said.Fanelli added the PCQO has since closed her file because they have no ability to enforce it because of current legislation.Capital News contacted Park Place Seniors Living, which owns Spring Valley, and was provided with a written statement by VP Operations, Kathy Nduwayo:”In December 2021, a concern was brought forward to the management of Spring Valley Care Centre regarding a room where the heating system had just failed. During this period, the Okanagan was experiencing record-breaking cold temperatures that impacted many aging buildings across the health care system and Spring Valley Care Centre was not spared. Due to extreme temperatures, the building’s heating system struggled to keep up with demand in an isolated part of the building.The comfort and safety of Spring Valley’s residents are paramount to all members of our staff. In response to this issue, on-site management immediately implemented an interim solution to bring the temperature up to a more comfortable level in the affected part of the building. Heating system improvements are underway.Multiple options have been provided to alleviate any safety concerns in this matter. All involved regulatory stakeholders were immediately informed and brought in to assist. These stakeholders include Patient Care Quality Office, Kelowna Fire Department, Interior Health Authority, and residential care licensing. Each has indicated they are satisfied with the plan to address the heating issue.We wish to assure all residents, families, and the larger community of our commitment to providing a safe environment and quality care to our residents.”Fanelli has also contacted Kelowna-Lake Country MLA, Norm Letnick for help.“We have communicated via my office,” said Letnick. “I won’t get into the details of a private matter with a constituent, but what I can tell you is the issue was recently forwarded to the health minister. We’ll wait to hear the minister’s response to our correspondence.”Fanelli has started apetitionto mandate senior care home maintenance in B.C.“I want them fined, I want them held accountable, I want full disclosure to all people who have a vested interest in the healthcare of their family members.”Read More:Laid-off Campbell River employees face-off with Island Health directorsRead More:Do we now fully comprehend the extent of care home neglect in Canada?@GaryBarnes109gary.barnes@kelownacapnews.comLike us onFacebookand follow us onTwitterand subscribe to our daily"
4,https://www.vancouverislandfreedaily.com/news/a-positive-outlook-on-getting-old-could-help-with-aging-b-c-study-says/,"Feb 9, 2022","A positive outlook on getting old could help with aging, B.C. study says","It turns out the old adage “you’re only as old as you feel” has some truth behind it.Newly released findings from a UBC study show that people with better attitudes toward aging are more likely to have positive health outcomes as they get older.Researchers tracked changes in how participants felt about aging in three four-year intervals and looked for measurable changes in health and well-being after each interval. More than 13,000 adults aged 50 and over participated in the study from 2008 to 2018.At the first interval, the researchers recorded initial measures of health and wellbeing. They also captured aging satisfaction through participants’ responses to statements like “things keep getting worse as I get older”, “I am as happy now as I was when I was younger” and “The older I get, the more useless I feel”.At the second interval, they assessed aging satisfaction again.Then for the third interval, researchers measured how health and wellbeing outcomes had changed four years after the second measurement of aging satisfaction.Of the 35 outcomes they measured, 27 had improved in association with improved aging satisfaction four years earlier.Some of those outcomes included all-cause mortality, number of chronic conditions, diabetes, stroke, cancer, heart disease, lung disease, arthritis, physical functioning limitations, cognitive impairment, chronic pain and self-rated health.Participants with the highest aging satisfaction showed a 43 per cent reduced risk of all-cause mortality.At the same time, decreased satisfaction with aging from the first to second intervals was linked to worsening health and wellbeing outcomes.“Prior research has looked at how psychological risk factors like depression and stress might adversely influence health and wellbeing outcomes, but we are interested in factors that might positively influence health and wellbeing outcomes,” said Julia Nakamura, a graduate student in UBC’s department of psychology and first author of the study.“With further research, our findings suggest that interventions to increase aging satisfaction might improve the health and wellbeing of our rapidly growing older adult population.”Nakamura added that interventions could come at both the individual and societal levels. She suggests efforts to combat ageism and stereotypes would be a good first step to improve the way people view aging.“If a person thinks aging is destined to be a negative experience, that might become a self-fulfilling prophecy.”READ MORE:UBC research group launches online toolkit to combat stigma around dementiaREAD MORE:Advocates say lengthy COVID isolation for seniors in care may do more harm than good@SchislerCole"
5,https://www.vancouverislandfreedaily.com/community/oak-bay-resident-honours-her-dad-by-stuffing-seniors-mailboxes-with-love/,"Feb 4, 2022",Oak Bay resident honours her dad by stuffing seniors’ mailboxes with love,"John Marinus and wife Denise at the Chateau Victoria in June of 2020. (Photo courtesy of Margaret McCormack)Creative types can drop off valentines at two locations in Oak Bay and Margaret McCormack will gather and distribute them to seniors. (Photo courtesy of Margaret McCormack)Creative types can drop off valentines at two locations in Oak Bay and Margaret McCormack will gather and distribute them to seniors. (Photo courtesy of Margaret McCormack)Margaret McCormack and her dad John Marinus at The Marina restaurant for his 80th birthday. Marinus died in January 2021. (Photo courtesy of Margaret McCormack)Creative types can drop off valentines at two locations in Oak Bay and Margaret McCormack will gather and distribute them to seniors. (Photo courtesy of Margaret McCormack)If Margaret McCormack has her way, a trio of Oak Bay seniors homes will have mailboxes stuffed with love come Valentine’s Day.McCormack was troubled by the immediate impact of restrictions in 2020 as the province faced its first round of COVID-19. It didn’t help that her dad, John Marinus, had been slowly falling into the grip of Alzheimer’s and was about to start day programs in his hometown of Comox when the restrictions hit.“He started showing symptoms on and off in the last few years but the pandemic really hurt him,” McCormack said of the stepfather who served well the role of dad.Marinus was nearly 84 when he died on Jan. 19, 2021.READ ALSO:‘You cohabitate my heart’: New Valentine’s Day cards reflect unique timesLosing her dad was the main inspiration in her venture into cupid’s realm. She didn’t get to say goodbye or even visit during his final year of life.“I also needed something to do to move forward. I missed him incredibly but knew that he would want us to be happy for the time we all had,” McCormack said.The inspirations kept piling on as she saw struggling seniors every day in her community and at the Oak Bay Recreation Centre where she works.“They’re so active in the community and they just give and give and they couldn’t do anything and I couldn’t do anything for them,” she said.McCormack saw an opportunity. Kids couldn’t see grandparents either and she remembered the Kind Kids Club, a handful of children in the community that banded together to do a variety of good deeds around the community. The previous Christmas they’d crafted cards for seniors homes.READ ALSO:Kind Kids Club hands crafts cards for Oak Bay Lodge residentsWith Valentine’s Day on the horizon, McCormack contacted the mom/leader of that group. The kids had her set up with 100 cards in a matter of days.This year she’s sent word out on social media, to one daycare, and through friends plus there are two boxes for crafty and caring residents to fill – at the Monterey centre and at Taste Cafe at the corner of Florence Street and Caddy Bay Road.Last year, seniors living at Kiwanis House and a handful at Shannon Oaks received the special cards. Depending on the response, she hopes to expand to Elgin House this year.She’ll pick up the cards Feb. 12 in hopes of getting them to seniors for Valentine’s Day.READ ALSO:View Royal photographer works to unearth forgotten B.C. artistsc.vanreeuwyk@blackpress.caDo you have a story tip? Email:c.vanreeuwyk@blackpress.ca.Follow us onTwitterandInstagram,and like us onFacebook."
6,https://www.vancouverislandfreedaily.com/news/island-health-declares-new-care-home-outbreaks-in-victoria-chemainus/,"Feb 4, 2022","Island Health declares new care home outbreaks in Victoria, Chemainus","Two more long-term care homes on Vancouver Island are dealing with COVID-19 outbreaks as of Thursday, Island Health announced.In Victoria, two residents at Selkirk Seniors Village have tested positive for the virus so far. There, the outbreak has been contained to the Dayton unit on the fourth floor.Two residents have also contracted COVID at the Chemainus Health Care Centre, where the outbreak has been contained to the Harbour Side unit.All long-term care cases announced by Island Health on Thursday were confirmed either through PCR testing or through the authority’s case and contact management team.At most care facilities, only essential or single designated visitors are being allowed in, congregated dining and group activities have been put on hold, and staff movement has been reduced.Patients, families and staff are being notified anytime there is a new case, according to Island Health.READ ALSO:Greater Victoria family petitions government for solution to B.C. doctor shortageDo you have a story tip? Email:vnc.editorial@blackpress.ca.Follow us onTwitterandInstagram,and like us onFacebook."
7,https://www.vancouverislandfreedaily.com/news/vulnerable-seniors-have-been-abandoned-by-the-government-island-ndp-mps/,"Jan 23, 2022",Vulnerable seniors have been abandoned by the government: Island NDP MPs,"The situation for Canadian seniors affected by the federal government’s claw-back of the Guaranteed Income Supplement is only getting worse, according to federal NDP MPs.MPs Rachel Blaney, who is also the NDP critic for seniors, and MP Daniel Blaikie (NDP finance critic) wrote to Liberal Minister Chrystia Freeland and Kamal Khera (ministers for finance and seniors respectively) asking them to provide immediate one-time emergency payment for seniors.“Canadian seniors shouldn’t have to die in the cold while the Liberals fix their mistakes,” said Blaikie. “After months of raising the issue, the government finally acknowledged their mistake and committed to fixing it, but the money won’t arrive for months. That will be too late for many seniors going hungry, struggling to pay for medication and experiencing homelessness.“It’s absolutely unacceptable for the government to make them wait until May for help,” he said. “That’s why we’re asking the minister to get money out the door and into seniors’ pockets now.”In December, Freeland announced a “top up” of $742 million that would be going to seniors affected by the claw-back, but those funds would not be available until the beginning of the federal government’s fiscal year in April.The issue has been compounded by inflation, which was reported at a new 30-year high of 4.8 per cent by Statistics Canada this week.“I have heard heartbreaking stories from seniors across the country. They’re living through an unprecedented global health crisis; they’re already stressed and frustrated, and then the government cut the GIS support they rely on to survive. If that wasn’t bad enough, the cost of necessities like food is getting higher and higher. Seniors need help now more than ever,” said Blaney.“Instead of having people’s backs like Justin Trudeau said they would during the election, this government has cut their financial support and refuses to act quickly to fix it. Canadian seniors deserve much better.”RELATED:Seniors to wait five months for GIS one-time paymentMore questions than answers in new GIS announcement — MPsmarc.kitteringham@campbellrivermirror.comLike us onFacebookand follow us onTwitter"
8,https://www.vancouverislandfreedaily.com/news/seniors-do-you-need-help-caring-for-your-four-legged-friend/,"Jan 21, 2022","Seniors, do you need help caring for your four-legged friend?","A non-profit organization aimed at helping seniors care for their furry friends is hoping to expand both its volunteer and client lists in the Sooke area.ElderDog has been operating in the Greater Victoria area since 2019 and connects seniors unable to give their dogs the walks and physical activity they need with volunteers who are more than happy to step in and lend a helping hand – and without cost.”We want to ensure seniors can keep their dogs,” said Tanya Ellston, the spokesperson of the ElderDog. “In a lot of cases, there are physical limitations where they can’t get out and walk their dog or lift the food or transport them to the vet, so we are here to help out where we can.”Ellston said in cases where an organization like ElderDog is not available, seniors often face the difficult decision to give up their pets when they can no longer care for them properly. These pets can even end up euthanized in extreme cases if no one adopts them.That’s why ElderDog also offers both temporary foster homes for dogs if their owner has to be away for medical care and assistance with permanent re-homing, filling a gap between existing organizations like shelters.READ MORE:Unwanted pets flood Victoria animal welfare group as society returns somewhat to normalWith more than 30 clients already in the region, the non-profit is now placing its focus on growing its presence in the Sooke area. Sooke-based volunteer Linda Harris said a big part of why they have not done so sooner is a lack of volunteers in the area.But with some recent additions, she said they now can start adding clients.“My sense, and our sense as an organization, is there is potential for some high demand in the Sooke area,” said Harris. “It is a very dog-friendly community. There is also a pretty decent base of seniors in the community, so there are probably quite a few people out there that could use a hand in making sure their dog has the opportunity to get out for a good walk.”A volunteer for the past two years, Harris said she’d been impressed with the organization from the onset. She gets to spend her volunteer time with dogs outside in the fresh air only makes the experience better.Volunteers work with each client to meet the specific needs of their dogs. For Harris and her client’s dog Lilly, this typically involves half-hour walks where Harris follows Lilly on whatever route she decides to take that day.In addition to dog care positions, Harris said there are also opportunities for people to volunteer for the organization’s promotions and social media, event and administration areas.Anyone interested in learning more about volunteering or accessing ElderDog’s services is encouraged to visit elderdog.ca or email elderdogvictoria@gmail.com.READ MORE:Colwood makes new park stairs paw-friendly@JSamanski"
9,https://www.vancouverislandfreedaily.com/news/advocates-say-lengthy-covid-isolation-for-seniors-in-care-may-do-more-harm-than-good/,"Jan 20, 2022",Advocates say lengthy COVID isolation for seniors in care may do more harm than good,"After 10 days of preventive COVID-19 isolation in her room at a Montreal care facility, Joanne Béland’s 84-year-old mother has more difficulty moving and expressing herself.“My mother, she told me, ’I don’t know if I’ll still be able to walk when I’ve finished my 10 days,’” Béland said in a recent interview, adding that her mother now struggles to get out of a chair.“It’s very difficult for them to maintain their mobility when they’re confined in a room for 10 days.”Béland’s mother, Lorraine, lives at the Ressource de la Montagne, an “intermediate” care facility in Montreal, which offers a higher level of care than a seniors residence but less than a traditional long-term care home.Like in other residential care facilities in the province, residents are required to isolate for 10 days if a worker or another resident on their floor tests positive for COVID-19.Béland, who chairs a committee representing residents at her mother’s facility, said she agrees COVID-19-positive residents should isolate. But she says she worries a 10-day isolation period for others on their floor causes more harm than good.Earlier this week, the users committee at the health authority in west-central Montreal, which runs the facility where Béland’s mother lives, sent a letter to Quebec’s health minister and the seniors minister, calling for the isolation period to be shortened. With high vaccination rates in residential care facilities, and evidence that the Omicron variant causes less serious illness, the physical and mental health impacts of the isolation period are too high, the letter said.“The majority of seniors, they’ve already had their third dose of vaccine, they’re well-vaccinated,” Béland said. “It doesn’t make sense to keep them in this condition, to confine them in their rooms for 10 days.”Béland said she doesn’t think residents who may have been exposed to COVID-19 should be free to move anywhere, but she said residents should at least be able to move around their floors — especially if they test negative.Her mother tested negative twice for COVID-19 during her 10-day preventive isolation, Béland said. “After two negative tests, it seems to me we could give them the chance to leave their rooms.”For doctors who work with elderly patients, whether to reduce the preventive isolation period is a difficult question.Dr. Sophie Zhang, co-president of an organization that represents doctors who work in long-term care facilities, said that while Omicron may be less serious than other mutations like Delta, it can lead to severe illness and death, especially among elderly people who are already sick.“The question is, yes, whether preventive measures are worse than the actual infection,” she said in a recent interview. “It’s kind of tough to answer and I think it becomes kind of an ethical question, rather than a scientific question.”Zhang, who oversees 15 long-term care centres in south-central Montreal, said measures like the isolation period may have to be rethought because of the widespread transmission of COVID-19 in the community.At one facility where she works, an outbreak was declared on Dec. 19 and has not yet ended, as new cases continue to be reported among staff members.“Once there’s an outbreak, we put in place a lot of measures — restrictive measures — on visits, on activities, on mobility within the facility,” she said. “So all that is taking a heavy toll on our patients’ quality of life.”For people who are older and sicker, not moving or moving less can cause loss of muscle mass even after a few days, she said. Reducing the isolation period, implementing more aggressive testing and changing the way outbreaks are defined all need to be considered, Zhang added.Dr. Quoc Dinh Nguyen, a geriatrician and epidemiologist at the Centre hospitalier de l’Université de Montréal, said that especially in larger facilities, residents can have their 10-day isolation periods reset when new cases are reported on their floors.Nguyen said in a recent interview that testing could be used to lift isolation periods sooner. Facilities, he added, could also take into account their specific risk levels and the ability of residents to follow measures. A regional approach may make more sense than a provincewide isolation policy, he added.“We need to worry about the adverse effects of isolation measures,” Nguyen said, adding that he also worries about the impact of relaxing measures too much.“Although I agree that it’s not as severe as it used to be, it’s still severe,” he said about the Omicron variant. “We still need to be careful and we still need to put measures to reduce transmission.”—Jacob Serebrin, The Canadian PressRELATED: B.C. CDC updates COVID isolation time back up to 10 days for unvaccinated adultsCoronavirusSeniors"
