,date_time,tweet_id,author_id,tweet_text,account,cleaned_text,hashtags
0,2022-01-27T18:11:50.000Z,1486763898414022657,19636948,"‘Grandparent scam’ targeting seniors in Toronto: police
https://t.co/SYwqKcJiDv",CP24,Grandparent scam targeting seniors in Toronto: police,[]
1,2022-01-17T18:09:30.000Z,1483139432165347336,19636948,"Ontario widens access to free PCR COVID-19 testing to include pregnant people, first responders, select unvaccinated adults over the age of 70
https://t.co/njBQYfdovn https://t.co/Czd4a0NuA4",CP24,"Ontario widens access to free PCR COVID-19 testing to include pregnant people, first responders, select unvaccinated adults over the age of 70",[]
2,2021-12-27T23:56:42.000Z,1475616660765782023,19636948,Elderly woman sexually assaulted after being awoken by knock at the door: Toronto police https://t.co/hJdQFQHwB7,CP24,Elderly woman sexually assaulted after being awoken by knock at the door: Toronto police,[]
3,2021-12-11T17:31:31.000Z,1469721519538507784,19636948,"Toronto paramedics say a pedestrian has died after he was struck by a car in Scarborough, Ont.

https://t.co/W9SZk5M7zy",CP24,"Toronto paramedics say a pedestrian has died after he was struck by a car in Scarborough, Ont.",[]
4,2021-12-09T18:24:51.000Z,1469010165588496388,19636948,"The province's police watchdog is investigating a collision involving a Toronto police cruiser that left an elderly man and woman seriously injured on Wednesday night. 
https://t.co/78GJ2hWp8Q",CP24,The province's police watchdog is investigating a collision involving a Toronto police cruiser that left an elderly man and woman seriously injured on Wednesday night.,[]
5,2021-11-25T11:46:01.000Z,1463836367830585346,19636948,"Montreal man charged after allegedly defrauding elderly man in Toronto: police 
https://t.co/jewbGr7eqw",CP24,Montreal man charged after allegedly defrauding elderly man in Toronto: police,[]
6,2021-11-22T18:26:27.000Z,1462849977772826628,19636948,"Ontario optometrists to resume OHIP-insured services for kids and seniors tomorrow; ending months-long job action
https://t.co/dkzU9b2kei",CP24,Ontario optometrists to resume OHIP-insured services for kids and seniors tomorrow; ending months-long job action,[]
7,2021-11-19T19:57:06.000Z,1461785625456222215,19636948,"NDP calls on Liberals to detail impact of COVID aid on benefits to seniors, families
https://t.co/BJvpmPr2oI",CP24,"NDP calls on Liberals to detail impact of COVID aid on benefits to seniors, families",[]
8,2021-11-13T11:56:37.000Z,1459490379561115656,19636948,"Documents detail impacts of federal aid on benefits for seniors, families
https://t.co/gi8jPgXQ6A",CP24,"Documents detail impacts of federal aid on benefits for seniors, families",[]
9,2021-11-12T15:25:08.000Z,1459180468704886786,19636948,"An elderly woman has been taken to hospital with critical injuries after being struck by a vehicle in Whitby, Durham police say.  https://t.co/UJ1nss2H7r",CP24,"An elderly woman has been taken to hospital with critical injuries after being struck by a vehicle in Whitby, Durham police say.",[]
10,2021-11-05T09:19:03.000Z,1456551626727112711,19636948,"'They're afraid they won't come back:' Petition wants elder care in Nunavut
https://t.co/wab3prRsTi",CP24,'They're afraid they won't come back:' Petition wants elder care in Nunavut,[]
11,2021-11-03T02:20:16.000Z,1455721460757143558,19636948,Durham police investigating suspicious death of elderly woman  https://t.co/H6fciiwsDG,CP24,Durham police investigating suspicious death of elderly woman,[]
12,2021-10-27T11:15:58.000Z,1453319555401592833,19636948,"Expired flu shots given to seniors at Toronto retirement home
https://t.co/yau8iwDDYv",CP24,Expired flu shots given to seniors at Toronto retirement home,[]
13,2021-10-26T21:42:19.000Z,1453114795721375750,19636948,Expired flu shots given to seniors at Toronto retirement home https://t.co/yau8iwDDYv https://t.co/Lxev6X2C0p,CP24,Expired flu shots given to seniors at Toronto retirement home,[]
14,2021-10-22T14:02:23.000Z,1451549497390153738,19636948,"Ontario to expand paramedicine services to all eligible seniors
https://t.co/EEj5WaTlVg",CP24,Ontario to expand paramedicine services to all eligible seniors,[]
15,2021-10-12T20:01:52.000Z,1448016085798768645,19636948,Elderly woman in critical condition after being struck by TTC bus on Lawrence Avenue https://t.co/RFFnKY4wE2 https://t.co/KvUduRk84R,CP24,Elderly woman in critical condition after being struck by TTC bus on Lawrence Avenue,[]
16,2021-10-08T09:44:05.000Z,1446411063252115456,19636948,"Alarmed by COVID-19, Ontario seniors want to live in their homes as long as possible: poll
https://t.co/Owm8YzQVRr",CP24,"Alarmed by COVID-19, Ontario seniors want to live in their homes as long as possible: poll",[]
