,date_time,tweet_id,author_id,tweet_text,account,cleaned_text,hashtags
0,2021-08-12T20:40:58.000Z,1425920266648043524,43355844,"Staff, volunteers in B.C. senior care centres must be vaccinated by Oct. 12 https://t.co/pOBgXML70d",CdnPressNews,"Staff, volunteers in B.C. senior care centres must be vaccinated by Oct. 12",[]
1,2021-04-30T14:54:00.000Z,1388144610476797952,43355844,COVID-19 vaccine uptake among seniors in Canada is higher than the flu shot https://t.co/afZ1AK9BIX,CdnPressNews,COVID-19 vaccine uptake among seniors in Canada is higher than the flu shot,[]
2,2021-03-16T17:13:41.000Z,1371872307866656774,43355844,NACI says Oxford-AstraZeneca COVID-19 vaccine now recommended for use on seniors https://t.co/QwkIHiooMw,CdnPressNews,NACI says Oxford-AstraZeneca COVID-19 vaccine now recommended for use on seniors,[]
3,2020-04-14T18:45:14.000Z,1250133026484424704,43355844,More older Canadians die as COVID-19 toll passes 800; economy could shrink 6.2 per cent https://t.co/NS9enmlYfy https://t.co/RS8bSWpNcU,CdnPressNews,More older Canadians die as COVID-19 toll passes 800; economy could shrink 6.2 per cent,[]
4,2020-04-14T12:43:17.000Z,1250041938574745601,43355844,"Elderly main victims of COVID-19 and sci-fi writers on the pandemic; In The News for April 14 for @CdnPressNews
https://t.co/P1aAJ1NMVF",CdnPressNews,Elderly main victims of COVID-19 and sci-fi writers on the pandemic; In The News for April 14 for,[]
5,2020-04-13T12:31:57.000Z,1249676700100767744,43355844,"Federal officials to provide COVID-19 update focused on seniors, foreign workers https://t.co/BdVzZ33wFo #cdnpoli",CdnPressNews,"Federal officials to provide COVID-19 update focused on seniors, foreign workers cdnpoli",['cdnpoli']
6,2019-03-25T15:25:56.000Z,1110201154946908161,43355844,"Police in Florida have launched a double homicide investigation after an elderly couple from Quebec was found dead in their mobile home.
https://t.co/zvJSST2jRF",CdnPressNews,Police in Florida have launched a double homicide investigation after an elderly couple from Quebec was found dead in their mobile home.,[]
7,2019-01-21T17:50:30.000Z,1087407098621816834,43355844,Coroner probes exposure death of Gilles Duceppe's mother https://t.co/TtfDXfl3cU,CdnPressNews,Coroner probes exposure death of Gilles Duceppe's mother,[]
8,2018-12-21T09:23:16.000Z,1076045426707611649,43355844,"Elmer Courchene, a well-known and respected First Nations elder, died on Dec. 5 after a battle with lung cancer. He was 82. Via @KellyGerMalone 
https://t.co/DcjYOersEH",CdnPressNews,"Elmer Courchene, a well-known and respected First Nations elder, died on Dec. 5 after a battle with lung cancer. He was 82. Via",[]
9,2018-11-14T03:23:43.000Z,1062546594678169601,43355844,"A federal government initiative to support Indigenous conservation efforts will help strengthen reconciliation across Canada, chiefs, leaders and elders said Tuesday.
https://t.co/CgyJeO1tBu",CdnPressNews,"A federal government initiative to support Indigenous conservation efforts will help strengthen reconciliation across Canada, chiefs, leaders and elders said Tuesday.",[]
10,2018-08-13T11:15:03.000Z,1028963136014090240,43355844,"Prime minister to meet seniors, visit fair during visit to Prince Edward Island https://t.co/yrn8HvbOEh #cdnpoli",CdnPressNews,"Prime minister to meet seniors, visit fair during visit to Prince Edward Island cdnpoli",['cdnpoli']
11,2018-07-17T09:33:37.000Z,1019153136131497986,43355844,Physicians urge Ottawa to pay another $21B over the next decade for seniors health care.  https://t.co/SsKgj3p7jI,CdnPressNews,Physicians urge Ottawa to pay another $21B over the next decade for seniors health care.,[]
12,2018-06-25T18:16:00.000Z,1011312065472970760,43355844,"The feds are spending $75M in N.B. to study how best to help Canadians live well as they age 
https://t.co/ciPZfpVmb8 https://t.co/jHi4zVDaXR",CdnPressNews,The feds are spending $75M in N.B. to study how best to help Canadians live well as they age,[]
13,2018-03-12T12:41:42.000Z,973177210717818880,43355844,Montreal seniors' residence holds birthday party for its 20 centenarians https://t.co/UMLfSvVXrO https://t.co/6IHSlhT8yb,CdnPressNews,Montreal seniors' residence holds birthday party for its 20 centenarians,[]
14,2018-02-13T09:59:02.000Z,963351801209786369,43355844,Nunavut project to collect Inuit elder testimony on Franklin shipwreck sites.  https://t.co/j63jbKeOPW,CdnPressNews,Nunavut project to collect Inuit elder testimony on Franklin shipwreck sites.,[]
15,2018-01-11T10:08:29.000Z,951395379878260736,43355844,"Winnipeg couple dead in Jamaica, family says they were killed during burglary. https://t.co/NcpdDAtDbx",CdnPressNews,"Winnipeg couple dead in Jamaica, family says they were killed during burglary.",[]
