,date_time,tweet_id,author_id,tweet_text,account,cleaned_text,hashtags
0,2022-02-19T13:05:33.000Z,1495021738823802883,8736882,"Family raises $35,000 to bring Inuk elder home from Ottawa care facility https://t.co/HdLkqY8cFh",globeandmail,"Family raises $35,000 to bring Inuk elder home from Ottawa care facility",[]
1,2022-02-14T21:37:05.000Z,1493338531460120576,8736882,Ottawa moves up timeline to repay benefit clawbacks for low-income seniors https://t.co/dHmjNDlLSX,globeandmail,Ottawa moves up timeline to repay benefit clawbacks for low-income seniors,[]
2,2022-02-11T18:29:03.000Z,1492204048023384064,8736882,"Elderly woman misses daily Wordle update, leading to discovery of hostage situation https://t.co/qCmlGi4k2n",globeandmail,"Elderly woman misses daily Wordle update, leading to discovery of hostage situation",[]
3,2022-02-09T10:11:36.000Z,1491354085114609669,8736882,Deals for seniors’ residences surge as sector shrugs off pandemic downturn https://t.co/WnVrknjzVJ,globeandmail,Deals for seniors residences surge as sector shrugs off pandemic downturn,[]
4,2022-02-03T01:44:04.000Z,1489052031981473793,8736882,"Iqaluit’s sole elder-care home reopens, allowing seniors to return from out-of-territory https://t.co/xaGonaWHk2",globeandmail,"Iqaluits sole elder-care home reopens, allowing seniors to return from out-of-territory",[]
5,2022-01-27T11:11:05.000Z,1486658010554400770,8736882,"Why loneliness is a serious and growing health issue among seniors, advice for retiring abroad and how to use an inheritance to help out adult kids https://t.co/lMdylJZidA",globeandmail,"Why loneliness is a serious and growing health issue among seniors, advice for retiring abroad and how to use an inheritance to help out adult kids",[]
6,2022-01-26T01:36:12.000Z,1486150949525729281,8736882,"@kellygrant1 @menakarw Elders who move south for long-term care miss out on activities to connect with the land and their culture, like clam-digging. 

https://t.co/tjZwoznKo6 https://t.co/fJ8CgvTOCb",globeandmail,"Elders who move south for long-term care miss out on activities to connect with the land and their culture, like clam-digging.",[]
7,2022-01-26T01:30:15.000Z,1486149452909977602,8736882,"🎙On the latest episode of The Decibel, @kellygrant1 chats with @menakarw about her reporting on the tough decision facing Nunavut's elders and their families when they need round-the-clock care. 

https://t.co/FjwbtWqkeG",globeandmail,"On the latest episode of The Decibel, chats with about her reporting on the tough decision facing Nunavut's elders and their families when they need round-the-clock care.",[]
8,2022-01-26T01:17:52.000Z,1486146337468989441,8736882,"Read the full story by @kellygrant1 with photography and video by Pat Kane here: 
https://t.co/YLa0n3oEDF",globeandmail,Read the full story by with photography and video by Pat Kane here:,[]
9,2022-01-26T01:17:51.000Z,1486146330254843908,8736882,"""The difference here really, is that for Joe and Peepeelee and the rest of Joe's extended family, the choice was about whether or not to send him to a place that's 2000 kilometers away from home.""
https://t.co/tjZwoznKo6 https://t.co/MpIhyP23NI",globeandmail,"""The difference here really, is that for Joe and Peepeelee and the rest of Joe's extended family, the choice was about whether or not to send him to a place that's 2000 kilometers away from home.""",[]
10,2022-01-26T01:17:48.000Z,1486146320293322752,8736882,"""It's like people anywhere in Canada who face the choice of whether or not to keep trying to care for a loved one at home as it gets more difficult, or sending them to a long term care home,"" says Grant. 
https://t.co/tjZwoznKo6",globeandmail,"""It's like people anywhere in Canada who face the choice of whether or not to keep trying to care for a loved one at home as it gets more difficult, or sending them to a long term care home,"" says Grant.",[]
11,2022-01-26T01:17:48.000Z,1486146317978066944,8736882,"That leaves families in Nunavut to make a tough decision: Keep elders at home with little help, or sending them south – often for the rest of their lives. 
https://t.co/tjZwoznKo6",globeandmail,"That leaves families in Nunavut to make a tough decision: Keep elders at home with little help, or sending them south often for the rest of their lives.",[]
12,2022-01-26T01:17:47.000Z,1486146313301409797,8736882,"🎙In Nunavut, seniors who need round-the-clock care are transferred to a retirement home in Ottawa. This happens because Nunavut does not have enough long-term care beds overall, and because there is no secure ward for high-needs dementia patients anywhere in the territory. https://t.co/9XAbyZZ0AA",globeandmail,"In Nunavut, seniors who need round-the-clock care are transferred to a retirement home in Ottawa. This happens because Nunavut does not have enough long-term care beds overall, and because there is no secure ward for high-needs dementia patients anywhere in the territory.",[]
13,2022-01-26T01:17:45.000Z,1486146305466511366,8736882,"🎙“I spoke to several elders who were born on the land in outpost camps who grew up really living a lifestyle that's entirely different from the one they live today. And these elders are a living connection to that past,” says @kellygrant1. 
 
https://t.co/tjZwoznKo6 https://t.co/AGTBAsYufU",globeandmail,"I spoke to several elders who were born on the land in outpost camps who grew up really living a lifestyle that's entirely different from the one they live today. And these elders are a living connection to that past, says .",[]
14,2022-01-26T01:17:43.000Z,1486146297346338821,8736882,"🎙“They’re very stoic. They're sort of a little bit quiet and they make the best of things and they are not prone to complaint,” @kellygrant1 told @menakarw on #TheDecibel, reflecting of her time spent with elders in Nunavut.  
 
https://t.co/tjZwoznKo6 https://t.co/64IGjrEEpd",globeandmail,"Theyre very stoic. They're sort of a little bit quiet and they make the best of things and they are not prone to complaint, told on TheDecibel, reflecting of her time spent with elders in Nunavut.",['TheDecibel']
15,2022-01-25T22:38:51.000Z,1486106320163979264,8736882,"Neil Young's ""fiery righteousness comes at a time when other rock-star elders are disappointing people at all turns,"" writes @BWheelerglobe. 

https://t.co/If0HsVAT43",globeandmail,"Neil Young's ""fiery righteousness comes at a time when other rock-star elders are disappointing people at all turns,"" writes .",[]
16,2022-01-25T11:13:09.000Z,1485933758427525120,8736882,Why loneliness is a serious and growing health issue among seniors https://t.co/ZMVGO0nbGo,globeandmail,Why loneliness is a serious and growing health issue among seniors,[]
17,2022-01-25T10:05:33.000Z,1485916743369322496,8736882,Why some Nunavut elders spend their final years alone in Ottawa https://t.co/KaYYpS12qt,globeandmail,Why some Nunavut elders spend their final years alone in Ottawa,[]
18,2022-01-22T22:33:00.000Z,1485017681543712772,8736882,"Most Canadians who need around-the-clock care can find it close to home. 

But a shortage of care homes in Nunavut means Inuit elders have to move thousands of kilometres south for the same level of support.
https://t.co/NZe4CuPYof",globeandmail,Most Canadians who need around-the-clock care can find it close to home. But a shortage of care homes in Nunavut means Inuit elders have to move thousands of kilometres south for the same level of support.,[]
19,2022-01-22T18:41:23.000Z,1484959392978112515,8736882,"The resulting story is a powerful, in-depth look at long-term care, and the Inuit elders who have to move to the south to get the care they need. 
https://t.co/YLa0n3oEDF",globeandmail,"The resulting story is a powerful, in-depth look at long-term care, and the Inuit elders who have to move to the south to get the care they need.",[]
20,2022-01-22T18:41:22.000Z,1484959391350730763,8736882,"The Globe's health reporter @kellygrant1 travelled to Kimmirut, Iqaluit to speak with health-care providers, local and territorial officials, Inuit leaders and everyday Nunavummiut about what is and isn’t working in the health-care system in Nunavut.
https://t.co/YLa0n3oEDF",globeandmail,"The Globe's health reporter travelled to Kimmirut, Iqaluit to speak with health-care providers, local and territorial officials, Inuit leaders and everyday Nunavummiut about what is and isnt working in the health-care system in Nunavut.",[]
21,2022-01-22T18:41:22.000Z,1484959389429682180,8736882,"“If he went down there,” Ms. Arlooktoo says in Inuktitut, speaking about the long-term care home for Nunavut's high-needs elders in Ottawa, “he would lose his dignity.”
https://t.co/YLa0n3oEDF https://t.co/5NccbcDrp6",globeandmail,"If he went down there, Ms. Arlooktoo says in Inuktitut, speaking about the long-term care home for Nunavut's high-needs elders in Ottawa, he would lose his dignity.",[]
22,2022-01-22T18:41:17.000Z,1484959367824916483,8736882,"Elders who move south for long-term care miss out on activities to connect with the land and their culture, like clam-digging. 
https://t.co/YLa0n3oEDF https://t.co/jyKex6Gex4",globeandmail,"Elders who move south for long-term care miss out on activities to connect with the land and their culture, like clam-digging.",[]
23,2022-01-22T18:41:01.000Z,1484959301504536579,8736882,"His wife, Peepeelee, does the best she can to care for her husband – who has diabetes and dementia – at home, but it isn’t easy. 
https://t.co/YLa0n3oEDF https://t.co/kGWWDwcz1M",globeandmail,"His wife, Peepeelee, does the best she can to care for her husband who has diabetes and dementia at home, but it isnt easy.",[]
24,2022-01-22T18:40:58.000Z,1484959288892219399,8736882,"Joe Arlooktoo once served as mayor in Kimmirut, a traditional Inuit hamlet on Baffin Island. 

Amid its hilly terrain overlooking an inlet on the Arctic Ocean, the hamlet is where he wants to grow old. 
https://t.co/YLa0n3oEDF https://t.co/eUIeCeFTkT",globeandmail,"Joe Arlooktoo once served as mayor in Kimmirut, a traditional Inuit hamlet on Baffin Island. Amid its hilly terrain overlooking an inlet on the Arctic Ocean, the hamlet is where he wants to grow old.",[]
25,2022-01-22T18:40:55.000Z,1484959276321943555,8736882,"In Nunavut, the closest long-term care home for some Inuit elders is thousands of kilometres away, forcing families to choose between keeping them home with little help, or sending them south – often for the rest of their lives.
https://t.co/YLa0n3oEDF https://t.co/1iBadaux95",globeandmail,"In Nunavut, the closest long-term care home for some Inuit elders is thousands of kilometres away, forcing families to choose between keeping them home with little help, or sending them south often for the rest of their lives.",[]
26,2022-01-21T21:33:45.000Z,1484640383468548096,8736882,The plight of Nunavut’s seniors is emblematic of the struggles that all Nunavummiut face when they need the kind of rudimentary medical care that most Canadians take for granted. https://t.co/ajzcj8d554,globeandmail,The plight of Nunavuts seniors is emblematic of the struggles that all Nunavummiut face when they need the kind of rudimentary medical care that most Canadians take for granted.,[]
27,2022-01-21T19:58:03.000Z,1484616302178148356,8736882,NDP calls on federal government to give emergency one-off payment to desperate seniors https://t.co/FYBhc5bEPo,globeandmail,NDP calls on federal government to give emergency one-off payment to desperate seniors,[]
28,2022-01-21T17:45:37.000Z,1484582973139681281,8736882,How elders from Nunavut end up in long-term care thousands of kilometres from home https://t.co/tBlJXHGeqK,globeandmail,How elders from Nunavut end up in long-term care thousands of kilometres from home,[]
29,2022-01-21T17:29:05.000Z,1484578810578145282,8736882,"""It’s community that she misses"": Nunavut elders face growing old far from home https://t.co/Y8JckXyLSY",globeandmail,"""Its community that she misses"": Nunavut elders face growing old far from home",[]
30,2022-01-20T11:10:07.000Z,1484121052242333696,8736882,"How to know when it’s time for seniors to stop driving, why the pandemic is leading Canadians to delay retirement and a question on mandatory RRIF withdrawals https://t.co/LLur4F09wh",globeandmail,"How to know when its time for seniors to stop driving, why the pandemic is leading Canadians to delay retirement and a question on mandatory RRIF withdrawals",[]
31,2022-01-18T11:14:06.000Z,1483397281843793921,8736882,How to know when it’s time for seniors to stop driving https://t.co/EhELtgnsrF,globeandmail,How to know when its time for seniors to stop driving,[]
