,public_metrics,conversation_id,lang,source,text,reply_settings,id,created_at,author_id,in_reply_to_user_id,referenced_tweets
0,"{'retweet_count': 32, 'reply_count': 10, 'like_count': 30, 'quote_count': 5}",1486763898414022657,en,TweetDeck,"‘Grandparent scam’ targeting seniors in Toronto: police
https://t.co/SYwqKcJiDv",everyone,1486763898414022657,2022-01-27T18:11:50.000Z,19636948,,
1,"{'retweet_count': 40, 'reply_count': 94, 'like_count': 155, 'quote_count': 17}",1483139432165347336,en,TweetDeck,"Ontario widens access to free PCR COVID-19 testing to include pregnant people, first responders, select unvaccinated adults over the age of 70
https://t.co/njBQYfdovn https://t.co/Czd4a0NuA4",everyone,1483139432165347336,2022-01-17T18:09:30.000Z,19636948,,
2,"{'retweet_count': 60, 'reply_count': 70, 'like_count': 75, 'quote_count': 25}",1475616660765782023,en,Twitter Web App,Elderly woman sexually assaulted after being awoken by knock at the door: Toronto police https://t.co/hJdQFQHwB7,everyone,1475616660765782023,2021-12-27T23:56:42.000Z,19636948,,
3,"{'retweet_count': 9, 'reply_count': 5, 'like_count': 16, 'quote_count': 1}",1469721519538507784,en,TweetDeck,"Toronto paramedics say a pedestrian has died after he was struck by a car in Scarborough, Ont.

https://t.co/W9SZk5M7zy",everyone,1469721519538507784,2021-12-11T17:31:31.000Z,19636948,,
4,"{'retweet_count': 3, 'reply_count': 4, 'like_count': 7, 'quote_count': 1}",1469010165588496388,en,TweetDeck,"The province's police watchdog is investigating a collision involving a Toronto police cruiser that left an elderly man and woman seriously injured on Wednesday night. 
https://t.co/78GJ2hWp8Q",everyone,1469010165588496388,2021-12-09T18:24:51.000Z,19636948,,
5,"{'retweet_count': 11, 'reply_count': 4, 'like_count': 21, 'quote_count': 0}",1463836367830585346,en,TweetDeck,"Montreal man charged after allegedly defrauding elderly man in Toronto: police 
https://t.co/jewbGr7eqw",everyone,1463836367830585346,2021-11-25T11:46:01.000Z,19636948,,
6,"{'retweet_count': 119, 'reply_count': 23, 'like_count': 645, 'quote_count': 15}",1462849977772826628,en,TweetDeck,"Ontario optometrists to resume OHIP-insured services for kids and seniors tomorrow; ending months-long job action
https://t.co/dkzU9b2kei",everyone,1462849977772826628,2021-11-22T18:26:27.000Z,19636948,,
7,"{'retweet_count': 5, 'reply_count': 10, 'like_count': 13, 'quote_count': 0}",1461785625456222215,en,TweetDeck,"NDP calls on Liberals to detail impact of COVID aid on benefits to seniors, families
https://t.co/BJvpmPr2oI",everyone,1461785625456222215,2021-11-19T19:57:06.000Z,19636948,,
8,"{'retweet_count': 6, 'reply_count': 5, 'like_count': 10, 'quote_count': 0}",1459490379561115656,en,TweetDeck,"Documents detail impacts of federal aid on benefits for seniors, families
https://t.co/gi8jPgXQ6A",everyone,1459490379561115656,2021-11-13T11:56:37.000Z,19636948,,
9,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}",1459180468704886786,en,TweetDeck,"An elderly woman has been taken to hospital with critical injuries after being struck by a vehicle in Whitby, Durham police say.  https://t.co/UJ1nss2H7r",everyone,1459180468704886786,2021-11-12T15:25:08.000Z,19636948,,
10,"{'retweet_count': 7, 'reply_count': 8, 'like_count': 23, 'quote_count': 0}",1456551626727112711,en,TweetDeck,"'They're afraid they won't come back:' Petition wants elder care in Nunavut
https://t.co/wab3prRsTi",everyone,1456551626727112711,2021-11-05T09:19:03.000Z,19636948,,
11,"{'retweet_count': 5, 'reply_count': 2, 'like_count': 11, 'quote_count': 0}",1455721460757143558,en,Twitter Web App,Durham police investigating suspicious death of elderly woman  https://t.co/H6fciiwsDG,everyone,1455721460757143558,2021-11-03T02:20:16.000Z,19636948,,
12,"{'retweet_count': 28, 'reply_count': 28, 'like_count': 26, 'quote_count': 16}",1453319555401592833,en,TweetDeck,"Expired flu shots given to seniors at Toronto retirement home
https://t.co/yau8iwDDYv",everyone,1453319555401592833,2021-10-27T11:15:58.000Z,19636948,,
13,"{'retweet_count': 57, 'reply_count': 90, 'like_count': 92, 'quote_count': 25}",1453114795721375750,en,Twitter Web App,Expired flu shots given to seniors at Toronto retirement home https://t.co/yau8iwDDYv https://t.co/Lxev6X2C0p,everyone,1453114795721375750,2021-10-26T21:42:19.000Z,19636948,,
14,"{'retweet_count': 9, 'reply_count': 5, 'like_count': 31, 'quote_count': 0}",1451549497390153738,en,TweetDeck,"Ontario to expand paramedicine services to all eligible seniors
https://t.co/EEj5WaTlVg",everyone,1451549497390153738,2021-10-22T14:02:23.000Z,19636948,,
15,"{'retweet_count': 7, 'reply_count': 2, 'like_count': 11, 'quote_count': 0}",1448016085798768645,en,Twitter Web App,Elderly woman in critical condition after being struck by TTC bus on Lawrence Avenue https://t.co/RFFnKY4wE2 https://t.co/KvUduRk84R,everyone,1448016085798768645,2021-10-12T20:01:52.000Z,19636948,,
16,"{'retweet_count': 15, 'reply_count': 11, 'like_count': 47, 'quote_count': 3}",1446411063252115456,en,TweetDeck,"Alarmed by COVID-19, Ontario seniors want to live in their homes as long as possible: poll
https://t.co/Owm8YzQVRr",everyone,1446411063252115456,2021-10-08T09:44:05.000Z,19636948,,
