,conversation_id,created_at,public_metrics,text,reply_settings,author_id,lang,id,source,in_reply_to_user_id,referenced_tweets
0,1496741835783667712,2022-02-24T07:00:36.000Z,"{'retweet_count': 3, 'reply_count': 6, 'like_count': 33, 'quote_count': 1}",A Calgary seniors residence is bringing circus performers to entertain residents. Kevin Fleming reports. https://t.co/jed4F8WvOH https://t.co/u2HZU0OKxA,everyone,203123011,en,1496741835783667712,True Anthem,,
1,1493518014502871041,2022-02-15T09:30:17.000Z,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 13, 'quote_count': 0}","Older adults process too much information, leading to cluttered memories: study https://t.co/V1LD0KQhw3 https://t.co/TGRU36O3E9",everyone,203123011,en,1493518014502871041,True Anthem,,
2,1493367045865582592,2022-02-14T23:30:23.000Z,"{'retweet_count': 4, 'reply_count': 12, 'like_count': 18, 'quote_count': 1}","Older adults process too much information, leading to cluttered memories: study https://t.co/x0TqUpf0hF https://t.co/uYVin1iDkP",everyone,203123011,en,1493367045865582592,True Anthem,,
3,1492876259919020035,2022-02-13T15:00:11.000Z,"{'retweet_count': 3, 'reply_count': 5, 'like_count': 16, 'quote_count': 0}",Valentine's cards for seniors https://t.co/xChiTw9UEX https://t.co/2EO71kSoJU,everyone,203123011,en,1492876259919020035,True Anthem,,
4,1491849555394330625,2022-02-10T19:00:25.000Z,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 19, 'quote_count': 1}","A Midland, Ont., man created a hockey stick to make the game more accessible to young kids, seniors and those with disabilities. https://t.co/mxTXCjAxap https://t.co/03p3K0M3NU",everyone,203123011,en,1491849555394330625,True Anthem,,
5,1491774047897726982,2022-02-10T14:00:23.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 19, 'quote_count': 0}",Sarnia Blessings re-launching to serve seniors and vulnerable community one meal at a time. CTV's Reta Ismail reports. https://t.co/0b5rtz7l9Q https://t.co/2vsnS5Wm4P,everyone,203123011,en,1491774047897726982,True Anthem,,
6,1484628148507619330,2022-01-21T20:45:08.000Z,"{'retweet_count': 8, 'reply_count': 32, 'like_count': 50, 'quote_count': 5}",NDP calls on government to give emergency one-off payment to desperate seniors https://t.co/4eAAys7sgL https://t.co/dO9QnY1wpS,everyone,203123011,en,1484628148507619330,True Anthem,,
7,1479392601337966597,2022-01-07T10:00:56.000Z,"{'retweet_count': 16, 'reply_count': 38, 'like_count': 22, 'quote_count': 4}",Some seniors in long-term care are now living their lives confined to their rooms. Avis Favaro has the details. https://t.co/PF649HmwRV https://t.co/hCKZDQoiFM,everyone,203123011,en,1479392601337966597,True Anthem,,
8,1479279801777152004,2022-01-07T02:32:43.000Z,"{'retweet_count': 3, 'reply_count': 5, 'like_count': 10, 'quote_count': 1}","As Omicron hits long-term care homes, seniors feel the pain of isolation once again. Plus, a chat with the teenage police officer who helped shut down the last-ever Beatles concert in 1969.

More tonight on CTV National News at 11 p.m. https://t.co/ZVjwx9wdhX",everyone,203123011,en,1479279801777152004,Twitter Web App,,
9,1471977910978457601,2021-12-17T22:57:36.000Z,"{'retweet_count': 8, 'reply_count': 30, 'like_count': 24, 'quote_count': 1}","Dr. Kieran Moore, Ontario's chief medical officer of health, said Friday to follow COVID-19 safety measures carefully if visiting elderly or otherwise vulnerable relatives over the holidays.

Read more: https://t.co/flaYRohBXW https://t.co/IxIk6FmbTa",everyone,203123011,en,1471977910978457601,Twitter Media Studio - LiveCut,,
10,1470676259415941120,2021-12-14T08:45:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",Thousands of holiday cards destined for Canadian seniors this Christmas https://t.co/vP3n20MlCa https://t.co/fadEhhrhl1,everyone,203123011,en,1470676259415941120,True Anthem,,
11,1470649862161145861,2021-12-14T07:00:25.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 10, 'quote_count': 1}",A non-profit group is sending some sunshine to seniors across the country this holiday season — one card at a time. Heather Butts reports. https://t.co/vfPMwaHddd https://t.co/JDY9ua4hOI,everyone,203123011,en,1470649862161145861,True Anthem,,
12,1470604593029652480,2021-12-14T04:00:32.000Z,"{'retweet_count': 5, 'reply_count': 3, 'like_count': 17, 'quote_count': 0}",Thousands of holiday cards destined for Canadian seniors this Christmas https://t.co/bhEES67zzv https://t.co/m3UJTHincO,everyone,203123011,en,1470604593029652480,True Anthem,,
13,1470423317286899726,2021-12-13T16:00:12.000Z,"{'retweet_count': 4, 'reply_count': 10, 'like_count': 16, 'quote_count': 0}","Watch: Kathleen Finlay, founder of the ZeroNow Campaign, discusses her work helping seniors who received CERB but are now struggling https://t.co/wrZho8t6wK https://t.co/1KnqUjHyv8",everyone,203123011,en,1470423317286899726,True Anthem,,
14,1469207846994726913,2021-12-10T07:30:21.000Z,"{'retweet_count': 2, 'reply_count': 4, 'like_count': 13, 'quote_count': 1}",Cataract surgery linked to decreased dementia risk in older adults: study https://t.co/XudqBofjM8 https://t.co/OQa2himQ8t,everyone,203123011,en,1469207846994726913,True Anthem,,
15,1469079648386621448,2021-12-09T23:00:57.000Z,"{'retweet_count': 15, 'reply_count': 2, 'like_count': 46, 'quote_count': 2}",Cataract surgery linked to decreased dementia risk in older adults: study https://t.co/GBBFuaNax8 https://t.co/aQPjvxBn1B,everyone,203123011,en,1469079648386621448,True Anthem,,
16,1461790159054295052,2021-11-19T20:15:07.000Z,"{'retweet_count': 2, 'reply_count': 7, 'like_count': 6, 'quote_count': 1}","NDP calls on Liberals to detail impact of COVID aid on benefits to seniors, families https://t.co/4j0oa1nXjY https://t.co/RPZQq1ZA2D",everyone,203123011,en,1461790159054295052,True Anthem,,
17,1459695152382025730,2021-11-14T01:30:18.000Z,"{'retweet_count': 2, 'reply_count': 4, 'like_count': 2, 'quote_count': 0}","Documents show impact of federal pandemic-era benefits on seniors, families https://t.co/557FOdQYAY https://t.co/DDdjkTXvdI",everyone,203123011,en,1459695152382025730,True Anthem,,
18,1459630968923426833,2021-11-13T21:15:16.000Z,"{'retweet_count': 5, 'reply_count': 3, 'like_count': 10, 'quote_count': 1}","Documents show impact of federal pandemic-era benefits on seniors, families https://t.co/poAO4cGpc3 https://t.co/tqlzuaqCfY",everyone,203123011,en,1459630968923426833,True Anthem,,
19,1459566774937169928,2021-11-13T17:00:11.000Z,"{'retweet_count': 3, 'reply_count': 12, 'like_count': 10, 'quote_count': 1}","Documents show impact of federal pandemic-era benefits on seniors, families https://t.co/YEM6vTlV9J https://t.co/dWYJvZAa9l",everyone,203123011,en,1459566774937169928,True Anthem,,
20,1456539334941810705,2021-11-05T08:30:13.000Z,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 33, 'quote_count': 0}",'They're afraid they won't come back:' Petition wants elder care in Nunavut https://t.co/wdMLx6r3V3 https://t.co/4BgbQS0K2r,everyone,203123011,en,1456539334941810705,True Anthem,,
21,1455399359433039872,2021-11-02T05:00:21.000Z,"{'retweet_count': 3, 'reply_count': 8, 'like_count': 30, 'quote_count': 1}",A group of seniors went to the top of the CN Tower in Toronto to walk along the edge of the building's main pod. Scott Lightfoot reports. https://t.co/GORb1xMxGn https://t.co/8yQNTjusi4,everyone,203123011,en,1455399359433039872,True Anthem,,
22,1454391417116180485,2021-10-30T10:15:09.000Z,"{'retweet_count': 10, 'reply_count': 19, 'like_count': 21, 'quote_count': 1}",LTC studies suggest antibodies from vaccines wane much faster in seniors: Task Force report https://t.co/phIVFiiVKq https://t.co/uYyUKB0ktP,everyone,203123011,en,1454391417116180485,True Anthem,,
23,1454312127053828096,2021-10-30T05:00:05.000Z,"{'retweet_count': 24, 'reply_count': 71, 'like_count': 40, 'quote_count': 14}",LTC studies suggest antibodies from vaccines wane much faster in seniors: Task Force report https://t.co/bExtqny8HL https://t.co/defIPXu3B4,everyone,203123011,en,1454312127053828096,True Anthem,,
24,1454263075566235650,2021-10-30T01:45:10.000Z,"{'retweet_count': 12, 'reply_count': 16, 'like_count': 12, 'quote_count': 1}",LTC studies suggest antibodies from vaccines wane much faster in seniors: Task Force report https://t.co/ct7h4Zrkyt https://t.co/NFdun2lghI,everyone,203123011,en,1454263075566235650,True Anthem,,
25,1451979306410905607,2021-10-23T18:30:17.000Z,"{'retweet_count': 3, 'reply_count': 4, 'like_count': 7, 'quote_count': 1}","Sri Lanka gives booster shots to front-line workers, seniors https://t.co/Pu17eCDhvQ https://t.co/8IAc18TARM",everyone,203123011,en,1451979306410905607,True Anthem,,
26,1447404121074585600,2021-10-11T03:30:08.000Z,"{'retweet_count': 6, 'reply_count': 17, 'like_count': 14, 'quote_count': 0}",Advocates want COVID-19 vaccine boosters for B.C. seniors in the community https://t.co/jQwe0JGpMO https://t.co/QeiQjePS42,everyone,203123011,en,1447404121074585600,True Anthem,,
27,1445471262424199170,2021-10-05T19:29:39.000Z,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 2, 'quote_count': 0}",Provincial government compounded risks for elderly during B.C. 'heat dome': human rights group https://t.co/F5gYYcV0Tp,everyone,203123011,en,1445471262424199170,SocialNewsDesk,,
28,1444172803805257728,2021-10-02T05:30:02.000Z,"{'retweet_count': 16, 'reply_count': 3, 'like_count': 46, 'quote_count': 1}","An innovative housing project in B.C. is providing a space for elders to reconnect Indigenous youth with their roots, before sending them into adulthood. @AllisonM_Hurst has more: https://t.co/2CoP0Ivzlz https://t.co/wyEunSICzT",everyone,203123011,en,1444172803805257728,SocialNewsDesk,,
29,1442897296870412294,2021-09-28T17:01:37.000Z,"{'retweet_count': 3, 'reply_count': 17, 'like_count': 21, 'quote_count': 2}",WATCH LIVE: Que. health officials give an update on planned third doses of COVID-19 vaccines for seniors: https://t.co/A7XLtxMOg9 https://t.co/xsdSPF4PWE,everyone,203123011,en,1442897296870412294,SocialNewsDesk,,
30,1440983051991986176,2021-09-23T10:15:06.000Z,"{'retweet_count': 6, 'reply_count': 4, 'like_count': 5, 'quote_count': 2}","U.S. FDA backs Pfizer COVID-19 boosters for seniors, high-risk https://t.co/py2HIQMsco https://t.co/THPEBFhRwv",everyone,203123011,en,1440983051991986176,True Anthem,,
31,1440888713660309505,2021-09-23T04:00:14.000Z,"{'retweet_count': 3, 'reply_count': 10, 'like_count': 23, 'quote_count': 0}","U.S. FDA backs Pfizer COVID-19 boosters for seniors, high-risk https://t.co/7ZV9mDgB1d https://t.co/loaFEIHxu0",everyone,203123011,en,1440888713660309505,True Anthem,,
32,1440881143528796163,2021-09-23T03:30:09.000Z,"{'retweet_count': 6, 'reply_count': 7, 'like_count': 8, 'quote_count': 0}","U.S. FDA backs Pfizer COVID-19 boosters for seniors, high-risk https://t.co/dM9qndFoEi https://t.co/XePPoRGxrG",everyone,203123011,en,1440881143528796163,True Anthem,,
33,1439061728445218820,2021-09-18T03:00:27.000Z,"{'retweet_count': 10, 'reply_count': 6, 'like_count': 24, 'quote_count': 0}","U.S. FDA advisory panel backs COVID-19 boosters only for seniors, high-risk https://t.co/xvMZ09kTP6 https://t.co/SsGAQ620Kd",everyone,203123011,en,1439061728445218820,True Anthem,,
34,1439012549282893840,2021-09-17T23:45:01.000Z,"{'retweet_count': 4, 'reply_count': 25, 'like_count': 13, 'quote_count': 1}","U.S. FDA advisory panel backs COVID-19 boosters only for seniors, high-risk https://t.co/6uE67upwwu https://t.co/U44j2OOJon",everyone,203123011,en,1439012549282893840,True Anthem,,
35,1437234636007018498,2021-09-13T02:00:14.000Z,"{'retweet_count': 15, 'reply_count': 91, 'like_count': 32, 'quote_count': 8}",Erin O'Toole defends single-dosed candidate's visit to seniors' home https://t.co/OhttO5XpW2 https://t.co/aNzzeFDs91,everyone,203123011,en,1437234636007018498,True Anthem,,
36,1437170446470946824,2021-09-12T21:45:10.000Z,"{'retweet_count': 33, 'reply_count': 99, 'like_count': 54, 'quote_count': 19}",Erin O'Toole defends single-dosed candidate's visit to seniors' home https://t.co/jesVWIdbUa https://t.co/3C57ufTk8F,everyone,203123011,en,1437170446470946824,True Anthem,,
37,1437106258524377089,2021-09-12T17:30:06.000Z,"{'retweet_count': 40, 'reply_count': 134, 'like_count': 67, 'quote_count': 18}",Erin O'Toole defends single-dosed candidate's visit to seniors' home https://t.co/gv9sW53Gk9 https://t.co/LSEwB3OtLR,everyone,203123011,en,1437106258524377089,True Anthem,,
38,1435169766382129153,2021-09-07T09:15:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}","New Orleans: Seniors left in dark, hot facilities after Ida https://t.co/vyJCpINijh https://t.co/ZODcG8Dy1z",everyone,203123011,en,1435169766382129153,True Anthem,,
39,1435022571578269696,2021-09-06T23:30:17.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}","New Orleans: Seniors left in dark, hot facilities after Ida https://t.co/7Uysmbq7Ca https://t.co/KbYGs85XA8",everyone,203123011,en,1435022571578269696,True Anthem,,
40,1433671241295179825,2021-09-03T06:00:34.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 1}","Isobel Mackenzie, Seniors Advocate for the province of B.C discusses the need for improvement in long term care groups. https://t.co/PSz9bbSPUx https://t.co/g4Gf9KDWgt",everyone,203123011,en,1433671241295179825,True Anthem,,
41,1430904155049107456,2021-08-26T14:45:10.000Z,"{'retweet_count': 57, 'reply_count': 153, 'like_count': 276, 'quote_count': 14}","Liberals will hike supplementary pensions for low-income seniors, Trudeau says https://t.co/uS2NHdAqVA https://t.co/zKIs12kNDx",everyone,203123011,en,1430904155049107456,True Anthem,,
