,text,author_id,conversation_id,created_at,source,reply_settings,public_metrics,lang,id,in_reply_to_user_id,referenced_tweets
0,"Family raises $35,000 to bring Inuk elder home from Ottawa care facility https://t.co/HdLkqY8cFh",8736882,1495021738823802883,2022-02-19T13:05:33.000Z,dlvr.it,everyone,"{'retweet_count': 7, 'reply_count': 6, 'like_count': 38, 'quote_count': 3}",en,1495021738823802883,,
1,Ottawa moves up timeline to repay benefit clawbacks for low-income seniors https://t.co/dHmjNDlLSX,8736882,1493338531460120576,2022-02-14T21:37:05.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 6, 'quote_count': 1}",en,1493338531460120576,,
2,"Elderly woman misses daily Wordle update, leading to discovery of hostage situation https://t.co/qCmlGi4k2n",8736882,1492204048023384064,2022-02-11T18:29:03.000Z,dlvr.it,everyone,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 9, 'quote_count': 3}",en,1492204048023384064,,
3,Deals for seniors’ residences surge as sector shrugs off pandemic downturn https://t.co/WnVrknjzVJ,8736882,1491354085114609669,2022-02-09T10:11:36.000Z,dlvr.it,everyone,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 2, 'quote_count': 0}",en,1491354085114609669,,
4,"Iqaluit’s sole elder-care home reopens, allowing seniors to return from out-of-territory https://t.co/xaGonaWHk2",8736882,1489052031981473793,2022-02-03T01:44:04.000Z,dlvr.it,everyone,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 15, 'quote_count': 0}",en,1489052031981473793,,
5,"Why loneliness is a serious and growing health issue among seniors, advice for retiring abroad and how to use an inheritance to help out adult kids https://t.co/lMdylJZidA",8736882,1486658010554400770,2022-01-27T11:11:05.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",en,1486658010554400770,,
6,"@kellygrant1 @menakarw Elders who move south for long-term care miss out on activities to connect with the land and their culture, like clam-digging. 

https://t.co/tjZwoznKo6 https://t.co/fJ8CgvTOCb",8736882,1486149452909977602,2022-01-26T01:36:12.000Z,Twitter Web App,everyone,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",en,1486150949525729281,8736882,"[{'type': 'replied_to', 'id': '1486149452909977602'}]"
7,"🎙On the latest episode of The Decibel, @kellygrant1 chats with @menakarw about her reporting on the tough decision facing Nunavut's elders and their families when they need round-the-clock care. 

https://t.co/FjwbtWqkeG",8736882,1486149452909977602,2022-01-26T01:30:15.000Z,Twitter Web App,everyone,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 6, 'quote_count': 1}",en,1486149452909977602,,
8,"Read the full story by @kellygrant1 with photography and video by Pat Kane here: 
https://t.co/YLa0n3oEDF",8736882,1486146297346338821,2022-01-26T01:17:52.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,1486146337468989441,8736882,"[{'type': 'replied_to', 'id': '1486146335132770308'}]"
9,"""The difference here really, is that for Joe and Peepeelee and the rest of Joe's extended family, the choice was about whether or not to send him to a place that's 2000 kilometers away from home.""
https://t.co/tjZwoznKo6 https://t.co/MpIhyP23NI",8736882,1486146297346338821,2022-01-26T01:17:51.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",en,1486146330254843908,8736882,"[{'type': 'replied_to', 'id': '1486146320293322752'}]"
10,"""It's like people anywhere in Canada who face the choice of whether or not to keep trying to care for a loved one at home as it gets more difficult, or sending them to a long term care home,"" says Grant. 
https://t.co/tjZwoznKo6",8736882,1486146297346338821,2022-01-26T01:17:48.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",en,1486146320293322752,8736882,"[{'type': 'replied_to', 'id': '1486146317978066944'}]"
11,"That leaves families in Nunavut to make a tough decision: Keep elders at home with little help, or sending them south – often for the rest of their lives. 
https://t.co/tjZwoznKo6",8736882,1486146297346338821,2022-01-26T01:17:48.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,1486146317978066944,8736882,"[{'type': 'replied_to', 'id': '1486146313301409797'}]"
12,"🎙In Nunavut, seniors who need round-the-clock care are transferred to a retirement home in Ottawa. This happens because Nunavut does not have enough long-term care beds overall, and because there is no secure ward for high-needs dementia patients anywhere in the territory. https://t.co/9XAbyZZ0AA",8736882,1486146297346338821,2022-01-26T01:17:47.000Z,Twitter Web App,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",en,1486146313301409797,8736882,"[{'type': 'replied_to', 'id': '1486146305466511366'}]"
13,"🎙“I spoke to several elders who were born on the land in outpost camps who grew up really living a lifestyle that's entirely different from the one they live today. And these elders are a living connection to that past,” says @kellygrant1. 
 
https://t.co/tjZwoznKo6 https://t.co/AGTBAsYufU",8736882,1486146297346338821,2022-01-26T01:17:45.000Z,Twitter Web App,everyone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",en,1486146305466511366,8736882,"[{'type': 'replied_to', 'id': '1486146297346338821'}]"
14,"🎙“They’re very stoic. They're sort of a little bit quiet and they make the best of things and they are not prone to complaint,” @kellygrant1 told @menakarw on #TheDecibel, reflecting of her time spent with elders in Nunavut.  
 
https://t.co/tjZwoznKo6 https://t.co/64IGjrEEpd",8736882,1486146297346338821,2022-01-26T01:17:43.000Z,Twitter Web App,everyone,"{'retweet_count': 5, 'reply_count': 2, 'like_count': 13, 'quote_count': 0}",en,1486146297346338821,,
15,"Neil Young's ""fiery righteousness comes at a time when other rock-star elders are disappointing people at all turns,"" writes @BWheelerglobe. 

https://t.co/If0HsVAT43",8736882,1486106320163979264,2022-01-25T22:38:51.000Z,Twitter Web App,everyone,"{'retweet_count': 7, 'reply_count': 16, 'like_count': 42, 'quote_count': 0}",en,1486106320163979264,,
16,Why loneliness is a serious and growing health issue among seniors https://t.co/ZMVGO0nbGo,8736882,1485933758427525120,2022-01-25T11:13:09.000Z,dlvr.it,everyone,"{'retweet_count': 8, 'reply_count': 3, 'like_count': 15, 'quote_count': 0}",en,1485933758427525120,,
17,Why some Nunavut elders spend their final years alone in Ottawa https://t.co/KaYYpS12qt,8736882,1485916743369322496,2022-01-25T10:05:33.000Z,dlvr.it,everyone,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 6, 'quote_count': 1}",en,1485916743369322496,,
