,created_at,id,conversation_id,author_id,lang,public_metrics,source,reply_settings,text,referenced_tweets,in_reply_to_user_id
0,2022-02-11T19:43:47.000Z,1492222856482197506,1492222856482197506,14216661,en,"{'retweet_count': 3, 'reply_count': 4, 'like_count': 2, 'quote_count': 1}",Echobox,everyone,Number of seniors seeking help with debt is rising dramatically — here are some common causes https://t.co/6qxEwVwlO1,,
1,2022-02-01T13:22:24.000Z,1488502997671989250,1488502997671989250,14216661,en,"{'retweet_count': 1, 'reply_count': 4, 'like_count': 10, 'quote_count': 2}",Echobox,everyone,Financial abuse of seniors a growing problem amid pandemic isolation https://t.co/OrbRWMQdQ3,,
2,2022-01-31T21:49:02.000Z,1488268108355837954,1488268108355837954,14216661,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Echobox,everyone,"When care partners of older adults first encounter symptoms of dementia, many assume the symptoms are a normal part of aging. This lack of knowledge needs to be addressed to facilitate the first step in seeking dementia care - via @healthing_ca https://t.co/jQb8WmoG9M",,
3,2022-01-24T22:31:33.000Z,1485742094798966791,1485742094798966791,14216661,en,"{'retweet_count': 4, 'reply_count': 8, 'like_count': 15, 'quote_count': 1}",Echobox,everyone,"COVID-19 has amplified existing cracks in the long-term care system in Canada. We need socially innovative solutions to help seniors age safely and with dignity - via @healthing_ca

#healthing  https://t.co/TA558iDxjm",,
4,2022-01-24T19:03:48.000Z,1485689813378510849,1485689813378510849,14216661,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 1}",Echobox,everyone,"According to new research from New York University, older adults who are socially isolated are more likely to lose teeth - via @healthing_ca

#healthing   https://t.co/yUR3g46qdP",,
5,2022-01-24T17:03:45.000Z,1485659601693556736,1485659601693556736,14216661,en,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 2, 'quote_count': 0}",Echobox,everyone,"According to new research from New York University, older adults who are socially isolated are more likely to lose teeth - via @healthing_ca

#healthing  https://t.co/APeZL0obx4",,
6,2022-01-24T11:31:08.000Z,1485575893112299527,1485575893112299527,14216661,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 1}",Echobox,everyone,"HIIT improves memory in younger and older adults in ways that standard, moderate exercise can’t - via @healthing_ca

#healthing  https://t.co/UtdjIn3zZw",,
7,2022-01-21T13:02:18.000Z,1484511673717252096,1484511673717252096,14216661,en,"{'retweet_count': 5, 'reply_count': 3, 'like_count': 11, 'quote_count': 2}",Echobox,everyone,"Experts say one of the most pressing ways to prepare for this shifting demographic is to support seniors aging at home - via @healthing_ca

#healthing  https://t.co/75JjBC3xln",,
8,2022-01-13T13:05:53.000Z,1481613470822981637,1481613470822981637,14216661,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",Echobox,everyone,Is the '4% rule' still the magic key to making money last in old age? https://t.co/EDP6LvO1dA,,
9,2022-01-11T16:22:54.000Z,1480938277695799302,1480938277695799302,14216661,en,"{'retweet_count': 43, 'reply_count': 8, 'like_count': 183, 'quote_count': 33}",Echobox,everyone,Cambodia's top mine-sniffing rat dies of natural causes after saving hundreds of lives https://t.co/1KG7eCNaWA https://t.co/OBNM4RtShD,,
10,2022-01-08T00:16:39.000Z,1479607947999252484,1479607947999252484,14216661,en,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 7, 'quote_count': 1}",Echobox,everyone,"Across the province, orderlies in the same program are dropping out of the profession by the hundreds, according to statistics provided by the provincial health ministry - via @healthing_ca

#healthing  https://t.co/vyFkjw7tgX",,
11,2021-12-27T17:41:39.000Z,1475522277529866248,1475522277529866248,14216661,en,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 13, 'quote_count': 2}",Echobox,everyone,"A new study has found that 5 or more servings of walnuts per week may lower the risk of death from cardiovascular disease by 25% among older adults and increase life expectancy by over a year - via @healthing_ca

#healthing  https://t.co/cV6X6t4EOD",,
12,2021-12-16T13:45:06.000Z,1471476480848900105,1471476480848900105,14216661,en,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Echobox,everyone,"These tax changes in the latest fiscal update affect employees, seniors, students and more https://t.co/CW001wHDtc",,
13,2021-12-13T12:59:06.000Z,1470377742008999938,1470377742008999938,14216661,en,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 3, 'quote_count': 1}",Echobox,everyone,Michael Taube: Bob Dole — an elder statesman who will be fondly remembered https://t.co/KNopkmDAnk,,
14,2021-11-29T18:10:19.000Z,1465382629881040901,1465382629881040901,14216661,en,"{'retweet_count': 6, 'reply_count': 12, 'like_count': 14, 'quote_count': 4}",Echobox,everyone,Pandemic depression persists among older adults: Study https://t.co/0cJQLbmVMY — via @healthing_ca,,
15,2021-11-27T11:56:16.000Z,1464563724879028224,1464563724879028224,14216661,en,"{'retweet_count': 12, 'reply_count': 8, 'like_count': 49, 'quote_count': 7}",Echobox,everyone,"André Pratte: The 3,901 seniors who died in Quebec's long-term care disaster deserve accountability https://t.co/mIQmHGVeYJ",,
16,2021-11-16T16:07:54.000Z,1460640783829196807,1460640783829196807,14216661,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 1}",Echobox,everyone,Influx of aging baby boomers puts Canadian elder care homes on pace for record investment https://t.co/1HEtBjJ6xO,,
17,2021-11-15T15:16:18.000Z,1460265409580613638,1460265409580613638,14216661,en,"{'retweet_count': 7, 'reply_count': 6, 'like_count': 9, 'quote_count': 0}",Echobox,everyone,"Thousands of low-income families, seniors see decline in federal aid benefits, documents show https://t.co/Fog62xF9Hh",,
18,2021-11-13T23:38:00.000Z,1459666890041741314,1459666890041741314,14216661,en,"{'retweet_count': 30, 'reply_count': 28, 'like_count': 59, 'quote_count': 14}",Echobox,everyone,"Thousands of low-income families, seniors see decline in federal aid benefits, documents show https://t.co/UVFfpxn8kG",,
19,2021-11-04T14:05:45.000Z,1456261386242170894,1456261386242170894,14216661,en,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 13, 'quote_count': 4}",Echobox,everyone,"While the pandemic was hard on many parts of the workforce, seniors took it on the chin https://t.co/t6qXa926Km",,
20,2021-10-27T15:33:01.000Z,1453384246689685515,1453381545583128581,14216661,en,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 4, 'quote_count': 1}",Twitter Web App,everyone,"Here are the new faces in cabinet https://t.co/mqOpsdMlFa

@KamalKheraLib – Minister of Seniors

#CDNpoli https://t.co/QGDELgfZOq","[{'type': 'replied_to', 'id': '1453383998806364160'}]",14216661
21,2021-10-13T12:58:11.000Z,1448271848857288707,1448271848857288707,14216661,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Echobox,everyone,"Earthquakes, elder care and innovation on shortlist for new literary prize https://t.co/iDGXinu7rU",,
22,2021-09-03T16:58:51.000Z,1433836902801678355,1433836902801678355,14216661,en,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 1}",Echobox,everyone,Belly fat and weak muscles risky for seniors: study https://t.co/LhOLpD8SG2 — via @healthing_ca,,
23,2021-09-02T00:01:52.000Z,1433218581282578432,1433218581282578432,14216661,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Echobox,everyone,"Pink Cars with Toyota Badges: Helping seniors get vaxxed https://t.co/a6iGKswLYN — via @drivingdotca

#autonews",,
24,2021-08-22T10:44:39.000Z,1429394075535486979,1429394075535486979,14216661,en,"{'retweet_count': 7, 'reply_count': 13, 'like_count': 28, 'quote_count': 3}",Echobox,everyone,"Raymond J. de Souza: America is a country governed by the elderly, and it's starting to show https://t.co/S1QEARCBQ0",,
25,2021-08-19T21:48:59.000Z,1428474099693727749,1428474099693727749,14216661,en,"{'retweet_count': 1, 'reply_count': 42, 'like_count': 2, 'quote_count': 2}",Echobox,everyone,"The study also found greater effectiveness in those receiving Moderna doses in comparison to those who received the Pfizer vaccine. https://t.co/Fofutt2fx7

— via @healthing_ca",,
26,2021-08-05T13:50:15.000Z,1423280190298357760,1423280190298357760,14216661,en,"{'retweet_count': 11, 'reply_count': 17, 'like_count': 18, 'quote_count': 3}",Echobox,everyone,Seniors in 'complete shock' when income supplement cut after receiving emergency benefits https://t.co/VBNKaVdOIu https://t.co/2ardfMUNOw,,
27,2021-07-27T13:10:34.000Z,1420008715118391298,1420008715118391298,14216661,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 6, 'quote_count': 1}",Echobox,everyone,"New rules boost financial protection for seniors, but getting them to opt in can be a delicate process https://t.co/vptEX4jaT9",,
28,2021-07-20T17:43:12.000Z,1417540607862509570,1417540607862509570,14216661,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 3}",Echobox,everyone,"Any type of tea can help counter obesity, stress and heart disease in young children, and reduce risk of stroke among the elderly, study says.
- via @healthing_ca https://t.co/ZUzkGksoSk",,
29,2021-07-14T13:04:53.000Z,1415296242729488387,1415296242729488387,14216661,en,"{'retweet_count': 0, 'reply_count': 9, 'like_count': 6, 'quote_count': 3}",Echobox,everyone,Older seniors to get extra Old Age Security in the coming months https://t.co/wp3WWG5aZG,,
30,2021-07-07T18:05:44.000Z,1412835237575499781,1412835237575499781,14216661,en,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 14, 'quote_count': 3}",Echobox,everyone,"Social isolation can affect the cognitive and psychological health of seniors. https://t.co/hUv9setpNH

— via @healthing_ca",,
31,2021-07-06T22:53:02.000Z,1412545152330121224,1412545152330121224,14216661,en,"{'retweet_count': 7, 'reply_count': 6, 'like_count': 23, 'quote_count': 3}",Echobox,everyone,New Governor General proved the elder Trudeau wrong https://t.co/zmGOwVHKeB,,
32,2021-07-01T22:22:00.000Z,1410725401404461059,1410725401404461059,14216661,en,"{'retweet_count': 17, 'reply_count': 8, 'like_count': 25, 'quote_count': 2}",Echobox,everyone,"Hundreds who died from heat exposure in B.C. were mostly seniors found alone in unventilated suites, says coroner https://t.co/6JJh8hzjpB",,
33,2021-06-02T19:06:11.000Z,1400166876102148100,1400166876102148100,14216661,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 1}",Echobox,everyone,Updated: Nazi-looted painting in bizarre custody battle pitting U.S. college against elderly French heiress https://t.co/GKj2NSu9MX,,
34,2021-05-24T13:03:37.000Z,1396814141613084673,1396814141613084673,14216661,en,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 1}",Echobox,everyone,#ICYMI - Austrian hospital amputates wrong leg of elderly patient in 'tragic mistake' https://t.co/K60v7RH1TR,,
35,2021-05-11T18:14:54.000Z,1392181438146035712,1392181438146035712,14216661,en,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 6, 'quote_count': 1}",Echobox,everyone,"Vaping is up across the board, but the biggest hikes were in female students. https://t.co/VvQxDi9h9o

— via @TheGrowthOp",,
36,2021-05-11T04:15:24.000Z,1391970169472393221,1391970169472393221,14216661,en,"{'retweet_count': 2, 'reply_count': 13, 'like_count': 3, 'quote_count': 4}",Echobox,everyone,Munk Debate: Can we stop people from dying of old age? https://t.co/5gBWRGIIXs,,
37,2021-05-06T13:28:19.000Z,1390297373960667136,1390297373960667136,14216661,en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Echobox,everyone,Opinion: The budget's Old Age Security increase is bad policy https://t.co/iPHyUMU0V8,,
38,2021-05-02T14:00:27.000Z,1388855910668328960,1388855910668328960,14216661,en,"{'retweet_count': 3, 'reply_count': 5, 'like_count': 7, 'quote_count': 1}",Echobox,everyone,"Some older adults are using cannabis to self-treat without first seeking medical advice. https://t.co/FgimHmUzVA

— via @TheGrowthOp",,
39,2021-03-29T13:47:55.000Z,1376531569968619526,1376531569968619526,14216661,en,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",Echobox,everyone,"A growing number of more seniors may be using medical cannabis. https://t.co/X7rUC5HNAo

— via @TheGrowthOp",,
40,2021-03-28T19:59:55.000Z,1376262800348168192,1376262800348168192,14216661,en,"{'retweet_count': 3, 'reply_count': 6, 'like_count': 8, 'quote_count': 2}",Echobox,everyone,Some young people to get COVID vaccine months early thanks to program for apartment-dwelling seniors https://t.co/yUswpdfKTh,,
41,2021-03-27T12:34:40.000Z,1375788360778797058,1375788360778797058,14216661,en,"{'retweet_count': 7, 'reply_count': 3, 'like_count': 9, 'quote_count': 3}",Echobox,everyone,Some young people to get COVID vaccine months early thanks to program for apartment-dwelling seniors https://t.co/JNpDZ3myRL,,
